displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,6.72
"Revenue growth rate, 5 year",revenueGrowthRate5Year,12.82
"EPS growth rate, 5 year",ePSGrowthRate5Year,21.52
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,17.35
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,11.35
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,9.19
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),11.74
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,4.19
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,-18.56
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,11.08
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,23.56
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,15.87
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,12.34
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,6.42
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),54.55
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,7.13
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,15.00
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,8.57
