displayName,key,value
Market Cap,marketCap,110388.55
52 week Low Date,52WeekLowDate,2024-12-20T00:00:00
Price - 1 Day % Change,price1DayPercentChange,-1.11
Relative (S&P500) price percent change - 13 week,relativePricePercentChange13Week,5.93
Avg trading volume last 10 days,avgTradingVolumeLast10Days,1.13
Price - 13 week price percent change,price13WeekPricePercentChange,16.05
Price - 52 week price percent change,price52WeekPricePercentChange,-1.46
Avg Trading Volume Last 3 months,avgTradingVolumeLast3months,33.48
Price - 5 Day % Change,price5DayPercentChange,0.19
Price % Change Month To Date,pricePercentChangeMonthToDate,0.51
Relative (S&P500) price percent change - 04 week,relativePricePercentChange-04week,-1.72
52 week High Date,52WeekHighDate,2024-07-23T00:00:00
Price - 26 week price percent change,price26WeekPricePercentChange,15.05
PDATE,PDATE,2025-06-05T00:00:00
Price - YTD price percent change,priceYTDPricePercentChange,21.56
Relative (S&P500) price percent change - 52 week,relativePricePercentChange52Week,-10.00
NPRICE,NPRICE,1111.90
Relative (S&P500) price percent change - 26 week,relativePricePercentChange26Week,15.51
52 week Low,52WeekLow,882.90
52 week High,52WeekHigh,1247.10
Beta,beta,1.16
Relative (S&P500) price percent change - Year to Date,relativePricePercentChangeYearToDate,16.63
