Date,Price on NSE
2024-06-06,1125.91
2024-06-07,1121.71
2024-06-10,1119.14
2024-06-11,1121.66
2024-06-12,1110.84
2024-06-13,1100.92
2024-06-14,1098.79
2024-06-18,1113.07
2024-06-19,1092.03
2024-06-20,1089.71
2024-06-21,1071.58
2024-06-24,1088.42
2024-06-25,1081.16
2024-06-26,1073.56
2024-06-27,1072.27
2024-06-28,1083.98
2024-07-01,1081.11
2024-07-02,1091.44
2024-07-03,1132.28
2024-07-04,1121.27
2024-07-05,1123.44
2024-07-08,1136.67
2024-07-09,1128.18
2024-07-10,1136.67
2024-07-11,1117.51
2024-07-12,1138.11
2024-07-15,1134.7
2024-07-16,1161.81
2024-07-18,1178.75
2024-07-19,1173.42
2024-07-22,1190.01
2024-07-23,1241.47
2024-07-24,1216.14
2024-07-25,1208.58
2024-07-26,1213.65
2024-07-29,1201.4
2024-07-30,1194.9
2024-07-31,1188.95
2024-08-01,1208.35
2024-08-02,1193.65
2024-08-05,1199.4
2024-08-06,1185.6
2024-08-07,1199.6
2024-08-08,1178.3
2024-08-09,1186.15
2024-08-12,1170.8
2024-08-13,1178.8
2024-08-14,1167.55
2024-08-16,1187.75
2024-08-19,1177.4
2024-08-20,1171.2
2024-08-21,1177.55
2024-08-22,1205.8
2024-08-23,1196.8
2024-08-26,1220.05
2024-08-27,1209.6
2024-08-28,1201.15
2024-08-29,1198.45
2024-08-30,1200.15
2024-09-02,1199.7
2024-09-03,1199.0
2024-09-04,1194.95
2024-09-05,1188.65
2024-09-06,1173.85
2024-09-09,1192.05
2024-09-10,1204.15
2024-09-11,1204.4
2024-09-12,1222.75
2024-09-13,1210.3
2024-09-16,1218.5
2024-09-17,1220.25
2024-09-18,1200.85
2024-09-19,1215.25
2024-09-20,1216.85
2024-09-23,1211.55
2024-09-24,1211.65
2024-09-25,1189.6
2024-09-26,1213.45
2024-09-27,1201.55
2024-09-30,1196.95
2024-10-01,1196.25
2024-10-03,1152.75
2024-10-04,1130.4
2024-10-07,1111.4
2024-10-08,1119.05
2024-10-09,1117.8
2024-10-10,1114.15
2024-10-11,1113.1
2024-10-14,1113.55
2024-10-15,1115.25
2024-10-16,1113.95
2024-10-17,1090.15
2024-10-18,1093.25
2024-10-21,1017.05
2024-10-22,998.25
2024-10-23,1014.55
2024-10-24,996.45
2024-10-25,973.05
2024-10-28,975.9
2024-10-29,992.05
