displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,6747.00,,,2025,Annual
Cash Equivalents ,CashEquivalents,27602.00,,,2025,Annual
Short Term Investments ,ShortTermInvestments,33271.00,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,67620.00,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,14883.00,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,29712.00,,,2025,Annual
Total Inventory ,TotalInventory,51395.00,,,2025,Annual
Prepaid Expenses ,PrepaidExpenses,2997.00,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,8087.00,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,159811.00,,,2025,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,233660.00,,,2025,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-135024,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,98636.00,,,2025,Annual
Goodwill Net ,GoodwillNet,895.00,,,2025,Annual
Intangibles Net ,IntangiblesNet,81972.00,,,2025,Annual
Long Term Investments ,LongTermInvestments,8482.00,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,11095.00,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,17751.00,,,2025,Annual
Total Assets ,TotalAssets,378642.00,,,2025,Annual
Accounts Payable ,AccountsPayable,97368.00,,,2025,Annual
Accrued Expenses ,AccruedExpenses,4706.00,,,2025,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,5687.00,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,17994.00,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,40929.00,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,166684.00,,,2025,Annual
Long Term Debt ,LongTermDebt,42681.00,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,7642.00,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,50323.00,,,2025,Annual
Total Debt ,TotalDebt,74004.00,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,1669.00,,,2025,Annual
Minority Interest ,MinorityInterest,6610.00,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,37212.00,,,2025,Annual
Total Liabilities ,TotalLiabilities,262498.00,,,2025,Annual
Common Stock Total ,CommonStockTotal,736.00,,,2025,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,14364.00,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),82407.00,,,2025,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),908.00,,,2025,Annual
Other Equity Total ,OtherEquityTotal,17729.00,,,2025,Annual
Total Equity ,TotalEquity,116144.00,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,378642.00,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,368.13,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,90.39,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
