displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,-28724.20,,,2019,Annual
Depreciation/ Depletion ,Depreciation/Depletion,23590.63,,,2019,Annual
Non- Cash Items ,Non-CashItems,33896.00,,,2019,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-9627.74,,,2019,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,19134.69,,,2019,Annual
Capital Expenditures ,CapitalExpenditures,-35303.52,,,2019,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,15592.43,,,2019,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-19711.09,,,2019,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-7099.83,,,2019,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,0.00,,,2019,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,15930.20,,,2019,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,8830.37,,,2019,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,-1410.92,,,2019,Annual
Net Changein Cash ,NetChangeinCash,6843.05,,,2019,Annual
Cash Interest Paid ,CashInterestPaid,7005.09,,,2019,Annual
Cash Taxes Paid ,CashTaxesPaid,2659.43,,,2019,Annual
period Length ,periodLength,12,,,2019,Annual
period Type ,periodType,Months,,,2019,Annual
