displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,2689.87,,,2023,Annual
Depreciation/ Depletion ,Depreciation/Depletion,24860.36,,,2023,Annual
Non- Cash Items ,Non-CashItems,14143.90,,,2023,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-6306.12,,,2023,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,35388.01,,,2023,Annual
Capital Expenditures ,CapitalExpenditures,-18393.88,,,2023,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,1589.72,,,2023,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-16804.16,,,2023,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-9872.26,,,2023,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,0.00,,,2023,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,3769.60,,,2023,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-20140.24,,,2023,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-26242.90,,,2023,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,1386.99,,,2023,Annual
Net Changein Cash ,NetChangeinCash,-6272.06,,,2023,Annual
Cash Interest Paid ,CashInterestPaid,9335.96,,,2023,Annual
Cash Taxes Paid ,CashTaxesPaid,3178.99,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
