displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,249794.75,,,2021,Annual
Total Revenue ,TotalRevenue,249794.75,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,148835.14,,,2021,Annual
Gross Profit ,GrossProfit,100959.61,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,66594.95,,,2021,Annual
Research Development ,ResearchDevelopment,5226.63,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,23546.71,,,2021,Annual
Unusual Expense( Income) ,UnusualExpense(Income),13761.02,,,2021,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,0.00,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,257964.45,,,2021,Annual
Operating Income ,OperatingIncome,-8169.70,,,2021,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-3394.48,,,2021,Annual
Other Net ,OtherNet,1089.90,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,-10474.28,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,2541.86,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,-13016.14,,,2021,Annual
Minority Interest ,MinorityInterest,-56.29,,,2021,Annual
Equity In Affiliates ,EquityInAffiliates,-378.96,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,-13451.39,,,2021,Annual
Net Income ,NetIncome,-13451.39,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,-13451.39,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,-13451.39,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,-13451.39,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,363.68,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,-36.99,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,-12.39,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
