displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,10.18
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,2698385.00
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,49472030.00
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,11.81
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,6.21
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,26.66
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,11.81
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,6.21
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,4.84
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),5.06
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,50973700.00
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,1.95
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,2619111.00
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,22.84
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,29.12
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,1.17
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,1.17
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),22.84
Return on investment - 5 year average,returnOnInvestment5YearAverage,3.70
