displayName,key,value
Market Cap,marketCap,262046.49
52 week Low Date,52WeekLowDate,2025-04-07T00:00:00
Price - 1 Day % Change,price1DayPercentChange,0.14
Relative (S&P500) price percent change - 13 week,relativePricePercentChange13Week,1.34
Avg trading volume last 10 days,avgTradingVolumeLast10Days,10.45
Price - 13 week price percent change,price13WeekPricePercentChange,11.02
Price - 52 week price percent change,price52WeekPricePercentChange,-23.40
Avg Trading Volume Last 3 months,avgTradingVolumeLast3months,311.13
Price - 5 Day % Change,price5DayPercentChange,-1.97
Price % Change Month To Date,pricePercentChangeMonthToDate,-1.30
Relative (S&P500) price percent change - 04 week,relativePricePercentChange-04week,2.58
52 week High Date,52WeekHighDate,2024-07-30T00:00:00
Price - 26 week price percent change,price26WeekPricePercentChange,-10.40
PDATE,PDATE,2025-06-05T00:00:00
Price - YTD price percent change,priceYTDPricePercentChange,-4.05
Relative (S&P500) price percent change - 52 week,relativePricePercentChange52Week,-30.04
NPRICE,NPRICE,710.15
Relative (S&P500) price percent change - 26 week,relativePricePercentChange26Week,-10.04
52 week Low,52WeekLow,535.75
52 week High,52WeekHigh,1179.00
Beta,beta,1.33
Relative (S&P500) price percent change - Year to Date,relativePricePercentChangeYearToDate,-7.94
