Date,Volume,Delivery (%)
2024-06-06,12239636,43.0
2024-06-07,16646335,44.0
2024-06-10,9672012,43.0
2024-06-11,15400602,47.0
2024-06-12,18936977,47.0
2024-06-13,12607388,46.0
2024-06-14,11995912,50.0
2024-06-18,10196399,51.0
2024-06-19,7918405,36.0
2024-06-20,7832376,35.0
2024-06-21,15209381,46.0
2024-06-24,6901669,38.0
2024-06-25,7934520,43.0
2024-06-26,7324741,49.0
2024-06-27,20147584,
2024-06-28,24362755,59.0
2024-07-01,15345880,56.0
2024-07-02,13041254,46.0
2024-07-03,7649857,49.0
2024-07-04,13492869,46.0
2024-07-05,10262375,41.0
2024-07-08,14531850,47.0
2024-07-09,11326429,52.0
2024-07-10,13762856,52.0
2024-07-11,12373932,50.0
2024-07-12,7972723,49.0
2024-07-15,6071936,51.0
2024-07-16,5014170,44.0
2024-07-18,8295943,47.0
2024-07-19,8317500,46.0
2024-07-22,7698356,41.0
2024-07-23,10726913,42.0
2024-07-24,11818856,46.0
2024-07-25,34138443,33.0
2024-07-26,22964650,49.0
2024-07-29,12751640,53.0
2024-07-30,29494817,48.0
2024-07-31,11692216,46.0
2024-08-01,15044927,38.0
2024-08-02,23984187,45.0
2024-08-05,29816835,47.0
2024-08-06,18493415,32.0
2024-08-07,10494494,38.0
2024-08-08,20313669,38.0
2024-08-09,16067751,42.0
2024-08-12,11741627,55.0
2024-08-13,7787694,46.0
2024-08-14,8685845,48.0
2024-08-16,12036154,47.0
2024-08-19,7465943,41.0
2024-08-20,5990203,48.0
2024-08-21,5097906,52.0
2024-08-22,9613702,57.0
2024-08-23,10953821,44.0
2024-08-26,9732244,46.0
2024-08-27,9054076,52.0
2024-08-28,8376302,53.0
2024-08-29,42055801,62.0
2024-08-30,18226496,53.0
2024-09-02,8364771,38.0
2024-09-03,5252331,44.0
2024-09-04,4978181,42.0
2024-09-05,8144318,43.0
2024-09-06,9248488,44.0
2024-09-09,7491129,43.0
2024-09-10,7161489,42.0
2024-09-11,37896036,42.0
2024-09-12,26775467,30.0
2024-09-13,13839568,33.0
2024-09-16,6413486,36.0
2024-09-17,50318338,40.0
2024-09-18,12758115,54.0
2024-09-19,14295898,53.0
2024-09-20,18029765,45.0
2024-09-23,10867485,59.0
2024-09-24,13184986,58.0
2024-09-25,13432147,58.0
2024-09-26,22500024,42.0
2024-09-27,11204059,47.0
2024-09-30,12674049,57.0
2024-10-01,10769786,46.0
2024-10-03,26678798,59.0
2024-10-04,20755108,40.0
2024-10-07,12268039,41.0
2024-10-08,22613454,47.0
2024-10-09,12525682,39.0
2024-10-10,14535112,34.0
2024-10-11,4998630,30.0
2024-10-14,6364642,36.0
2024-10-15,9433122,56.0
2024-10-16,11065211,45.0
2024-10-17,14464120,50.0
2024-10-18,12660358,28.0
2024-10-21,7744825,37.0
2024-10-22,14169971,46.0
2024-10-23,10977893,40.0
2024-10-24,7491706,47.0
2024-10-25,11297687,50.0
2024-10-28,7796722,37.0
2024-10-29,28745724,41.0
2024-10-30,14013131,44.0
2024-10-31,12736617,62.0
2024-11-01,3312529,48.0
2024-11-04,16768314,48.0
2024-11-05,11103649,32.0
2024-11-06,11275410,37.0
2024-11-07,13922292,43.0
2024-11-08,17623283,44.0
2024-11-11,29761194,28.0
2024-11-12,18142383,45.0
2024-11-13,16117647,32.0
2024-11-14,12970460,36.0
2024-11-18,17811801,42.0
2024-11-19,15064156,30.0
2024-11-21,15249011,36.0
2024-11-22,15102803,45.0
2024-11-25,15907113,56.0
2024-11-26,11030470,46.0
2024-11-27,10605493,41.0
2024-11-28,11760278,39.0
2024-11-29,11262907,47.0
2024-12-02,9244973,33.0
2024-12-03,10184988,44.0
2024-12-04,12807705,48.0
2024-12-05,13035836,36.0
2024-12-06,21272783,44.0
2024-12-09,16178844,49.0
2024-12-10,13953795,42.0
2024-12-11,8390718,49.0
2024-12-12,11129625,44.0
2024-12-13,14609902,44.0
2024-12-16,10506963,53.0
2024-12-17,10635606,37.0
2024-12-18,19807814,47.0
2024-12-19,18215079,54.0
2024-12-20,19396212,47.0
2024-12-23,10161702,31.0
2024-12-24,13524285,26.0
2024-12-26,10099951,31.0
2024-12-27,17071707,21.0
2024-12-30,18184395,59.0
2024-12-31,7730761,32.0
2025-01-01,8311159,34.0
2025-01-02,16395576,32.0
2025-01-03,26124535,25.0
2025-01-06,18457768,33.0
2025-01-07,16226144,34.0
2025-01-08,12870292,36.0
2025-01-09,18769145,30.0
2025-01-10,11680252,21.0
2025-01-13,12719459,34.0
2025-01-14,12182904,29.0
2025-01-15,11305049,33.0
2025-01-16,9050528,38.0
2025-01-17,7531573,38.0
2025-01-20,10246071,48.0
2025-01-21,12463819,26.0
2025-01-22,12938024,33.0
2025-01-23,8532945,21.0
2025-01-24,10210428,31.0
2025-01-27,14886368,47.0
2025-01-28,17288104,32.0
2025-01-29,13370106,24.0
2025-01-30,61952728,37.0
2025-01-31,20865794,31.0
2025-02-01,14867146,26.0
2025-02-03,18601296,42.0
2025-02-04,18075148,34.0
2025-02-05,13998982,31.0
2025-02-06,10733386,37.0
2025-02-07,12678023,40.0
2025-02-10,11489687,48.0
2025-02-11,12566701,40.0
2025-02-12,13042183,26.0
2025-02-13,9270206,26.0
2025-02-14,11083481,38.0
2025-02-17,10860211,35.0
2025-02-18,8600082,34.0
2025-02-19,10462731,28.0
2025-02-20,9268890,35.0
2025-02-21,15580759,40.0
2025-02-24,9239108,32.0
2025-02-25,10684961,34.0
2025-02-27,13161631,42.0
2025-02-28,21627870,51.0
2025-03-03,19178693,37.0
2025-03-04,12293318,41.0
2025-03-05,13017047,36.0
2025-03-06,18120724,35.0
2025-03-07,11074324,30.0
2025-03-10,11083753,34.0
2025-03-11,10010726,36.0
2025-03-12,19521637,26.0
2025-03-13,15193922,40.0
2025-03-17,9623865,39.0
2025-03-18,11676829,38.0
2025-03-19,9763648,45.0
2025-03-20,10426551,43.0
2025-03-21,15845085,48.0
2025-03-24,12234174,42.0
2025-03-25,14167095,42.0
2025-03-26,10112974,48.0
2025-03-27,35991182,41.0
2025-03-28,17612971,34.0
2025-04-01,10101716,33.0
2025-04-02,8554948,36.0
2025-04-03,14192080,41.0
2025-04-04,29165396,43.0
2025-04-07,55511405,32.0
2025-04-08,22891045,28.0
2025-04-09,19169963,41.0
2025-04-11,23279334,27.0
2025-04-15,21682491,39.0
2025-04-16,12966834,38.0
2025-04-17,15512925,36.0
2025-04-21,13629761,39.0
2025-04-22,11636250,48.0
