displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,15807.12,,,2019,Annual
Depreciation/ Depletion ,Depreciation/Depletion,7579.32,,,2019,Annual
Non- Cash Items ,Non-CashItems,4453.22,,,2019,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-2503.71,,,2019,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,25335.95,,,2019,Annual
Capital Expenditures ,CapitalExpenditures,-9091,,,2019,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-20119.93,,,2019,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-29210.93,,,2019,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-7471.11,,,2019,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-1186.20,,,2019,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-6.03,,,2019,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,7990.64,,,2019,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-672.70,,,2019,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,34.48,,,2019,Annual
Net Changein Cash ,NetChangeinCash,-4513.20,,,2019,Annual
Cash Interest Paid ,CashInterestPaid,6901.39,,,2019,Annual
Cash Taxes Paid ,CashTaxesPaid,5094.22,,,2019,Annual
period Length ,periodLength,12,,,2019,Annual
period Type ,periodType,Months,,,2019,Annual
