displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,156477.40,,,2021,Annual
Total Revenue ,TotalRevenue,156477.40,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,76677.98,,,2021,Annual
Gross Profit ,GrossProfit,79799.42,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,43896.94,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,9318.48,,,2021,Annual
Unusual Expense( Income) ,UnusualExpense(Income),993.42,,,2021,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,3418.21,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,134305.03,,,2021,Annual
Operating Income ,OperatingIncome,22172.37,,,2021,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-8604.65,,,2021,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,148.03,,,2021,Annual
Other Net ,OtherNet,127.94,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,13843.69,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,5653.90,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,8189.79,,,2021,Annual
Minority Interest ,MinorityInterest,-699.57,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,7490.22,,,2021,Annual
Net Income ,NetIncome,7490.22,,,2021,Annual
Total Adjustmentsto Net Income ,TotalAdjustmentstoNetIncome,-1813.50,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,7308.87,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,7308.87,,,2021,Annual
Dilution Adjustment ,DilutionAdjustment,0.00,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,7308.87,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,1146.01,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,6.38,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,2.50,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,6.81,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
