displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,54771.39,,,2025,Interim
Total Revenue ,TotalRevenue,54771.39,,,2025,Interim
Costof Revenue Total ,CostofRevenueTotal,22422.97,,,2025,Interim
Gross Profit ,GrossProfit,32348.42,,,2025,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,6466.93,,,2025,Interim
Depreciation/ Amortization ,Depreciation/Amortization,2535.43,,,2025,Interim
Unusual Expense( Income) ,UnusualExpense(Income),360.30,,,2025,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,19187.02,,,2025,Interim
Total Operating Expense ,TotalOperatingExpense,50972.65,,,2025,Interim
Operating Income ,OperatingIncome,3798.74,,,2025,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-1681.83,,,2025,Interim
Other Net ,OtherNet,259.91,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,2376.82,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,1458.25,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,918.57,,,2025,Interim
Minority Interest ,MinorityInterest,41.04,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,959.61,,,2025,Interim
Net Income ,NetIncome,959.61,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,959.61,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,959.61,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,959.61,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,1246.25,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,0.77,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,0.96,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
