displayName,key,value
Operating margin - trailing 12 month,operatingMarginTrailing12Month,6.38
Gross Margin - 5 year average,grossMargin5YearAverage,47.13
Operating margin - 1st historical fiscal year,operatingMargin1stHistoricalFiscalYear),6.38
Operating Margin - 5 year average,operatingMargin5YearAverage,11.08
Net Profit Margin % - 1st historical fiscal year,netProfitMarginPercent1stHistoricalFiscalYear,1.45
Gross Margin - 1st historical fiscal year,grossMargin1stHistoricalFiscalYear,56.53
Net Profit Margin % - trailing 12 month,netProfitMarginPercentTrailing12Month,1.45
Net Profit Margin - 5 year average,netProfitMargin5YearAverage,5.16
Pretax Margin - 5 year average,pretaxMargin5YearAverage,8.21
"Free Operating Cash Flow/Revenue, TTM",freeOperatingCashFlowPerRevenueTTM,1.53
Pretax margin - 1st historical fiscal year,pretaxMargin1stHistoricalFiscalYear,3.85
Pretax margin - trailing 12 month,pretaxMarginTrailing12Month,3.85
"Free Operating Cash Flow/Revenue, 5 Year Average",freeOperatingCashFlowPerRevenue5YearAverage,6.35
Gross Margin - trailing 12 month,grossMarginTrailing12Month,56.53
