displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,11.84
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,1.73
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,1.15
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,37.68
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,1.73
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,1.15
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,2.03
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),2.03
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,4.15
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,3.73
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,37.93
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,0.79
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,0.79
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),3.73
Return on investment - 5 year average,returnOnInvestment5YearAverage,6.14
