Date,50 DMA
2024-06-06,3865.59
2024-06-07,3866.7
2024-06-10,3866.39
2024-06-11,3865.83
2024-06-12,3864.49
2024-06-13,3865.02
2024-06-14,3863.73
2024-06-18,3861.82
2024-06-19,3859.47
2024-06-20,3856.63
2024-06-21,3854.83
2024-06-24,3853.34
2024-06-25,3852.76
2024-06-26,3852.88
2024-06-27,3856.07
2024-06-28,3857.95
2024-07-01,3862.67
2024-07-02,3868.74
2024-07-03,3872.52
2024-07-04,3878.34
2024-07-05,3883.58
2024-07-08,3887.87
2024-07-09,3891.7
2024-07-10,3892.39
2024-07-11,3893.61
2024-07-12,3905.0
2024-07-15,3915.36
2024-07-16,3925.68
2024-07-18,3940.97
2024-07-19,3955.14
2024-07-22,3968.17
2024-07-23,3981.27
2024-07-24,3994.02
2024-07-25,4006.9
2024-07-26,4021.84
2024-07-29,4035.93
2024-07-30,4048.85
2024-07-31,4062.04
2024-08-01,4075.18
2024-08-02,4083.33
2024-08-05,4086.15
2024-08-06,4089.48
2024-08-07,4093.83
2024-08-08,4096.92
2024-08-09,4102.09
2024-08-12,4105.76
2024-08-13,4109.34
2024-08-14,4116.63
2024-08-16,4128.37
2024-08-19,4142.55
2024-08-20,4157.48
2024-08-21,4172.93
2024-08-22,4185.84
2024-08-23,4196.74
2024-08-26,4208.73
2024-08-27,4220.04
2024-08-28,4231.26
2024-08-29,4242.26
2024-08-30,4254.47
2024-09-02,4264.93
2024-09-03,4274.63
2024-09-04,4282.66
2024-09-05,4290.24
2024-09-06,4296.77
2024-09-09,4302.76
2024-09-10,4310.8
2024-09-11,4317.41
2024-09-12,4325.26
2024-09-13,4333.0
2024-09-16,4340.07
2024-09-17,4346.56
2024-09-18,4346.55
2024-09-19,4344.57
2024-09-20,4342.23
2024-09-23,4339.34
2024-09-24,4336.67
2024-09-25,4334.24
2024-09-26,4332.61
2024-09-27,4331.67
2024-09-30,4329.19
2024-10-01,4327.57
2024-10-03,4323.85
2024-10-04,4321.05
2024-10-07,4319.16
2024-10-08,4316.57
2024-10-09,4314.08
2024-10-10,4310.68
2024-10-11,4304.35
2024-10-14,4297.77
2024-10-15,4290.67
2024-10-16,4283.0
2024-10-17,4276.17
2024-10-18,4270.17
2024-10-21,4262.7
2024-10-22,4253.01
2024-10-23,4245.69
2024-10-24,4237.93
2024-10-25,4230.86
2024-10-28,4225.37
2024-10-29,4219.48
2024-10-30,4214.19
2024-10-31,4204.55
2024-11-01,4195.91
2024-11-04,4186.82
2024-11-05,4178.37
2024-11-06,4176.86
2024-11-07,4175.84
2024-11-08,4174.71
2024-11-11,4175.65
2024-11-12,4176.5
2024-11-13,4175.48
2024-11-14,4174.32
2024-11-18,4168.24
2024-11-19,4163.2
2024-11-21,4159.65
2024-11-22,4162.99
2024-11-25,4168.95
2024-11-26,4176.16
2024-11-27,4182.29
2024-11-28,4184.75
2024-11-29,4188.12
2024-12-02,4191.59
2024-12-03,4195.95
2024-12-04,4202.17
2024-12-05,4212.44
2024-12-06,4221.58
2024-12-09,4230.62
2024-12-10,4238.54
2024-12-11,4245.95
2024-12-12,4254.14
2024-12-13,4262.76
2024-12-16,4268.74
2024-12-17,4271.08
2024-12-18,4274.09
2024-12-19,4274.01
2024-12-20,4269.94
2024-12-23,4265.56
2024-12-24,4262.19
2024-12-26,4258.54
2024-12-27,4254.86
2024-12-30,4251.09
2024-12-31,4244.97
2025-01-01,4239.77
2025-01-02,4237.26
2025-01-03,4231.87
2025-01-06,4226.5
2025-01-07,4218.73
2025-01-08,4214.4
2025-01-09,4207.52
2025-01-10,4209.8
2025-01-13,4212.99
2025-01-14,4213.77
2025-01-15,4215.18
2025-01-16,4214.83
2025-01-17,4211.28
2025-01-20,4206.05
2025-01-21,4199.37
2025-01-22,4197.69
2025-01-23,4195.65
2025-01-24,4193.95
2025-01-27,4188.9
2025-01-28,4183.07
2025-01-29,4179.8
2025-01-30,4176.68
2025-01-31,4174.16
2025-02-01,4170.2
2025-02-03,4166.21
2025-02-04,4163.89
2025-02-05,4161.04
2025-02-06,4157.97
2025-02-07,4152.93
2025-02-10,4148.38
2025-02-11,4141.13
2025-02-12,4133.64
2025-02-13,4124.88
2025-02-14,4117.42
2025-02-17,4109.07
2025-02-18,4099.82
2025-02-19,4087.44
2025-02-20,4075.36
2025-02-21,4064.02
2025-02-24,4048.78
2025-02-25,4032.34
2025-02-27,4015.88
2025-02-28,3994.99
2025-03-03,3975.31
2025-03-04,3957.93
2025-03-05,3941.81
2025-03-06,3928.47
2025-03-07,3916.03
2025-03-10,3903.23
2025-03-11,3890.37
2025-03-12,3875.3
2025-03-13,3861.02
2025-03-17,3846.77
2025-03-18,3835.23
2025-03-19,3821.97
2025-03-20,3811.82
2025-03-21,3802.66
2025-03-24,3795.84
2025-03-25,3790.43
2025-03-26,3784.36
2025-03-27,3779.14
2025-03-28,3772.36
2025-04-01,3763.67
2025-04-02,3755.05
2025-04-03,3741.25
2025-04-04,3723.93
2025-04-07,3706.28
2025-04-08,3690.07
2025-04-09,3672.68
2025-04-11,3655.38
2025-04-15,3639.41
2025-04-16,3625.08
2025-04-17,3612.28
2025-04-21,3600.89
2025-04-22,3589.65
2025-04-23,3582.72
2025-04-24,3575.62
2025-04-25,3570.62
2025-04-28,3565.63
2025-04-29,3561.98
2025-04-30,3557.73
2025-05-02,3553.3
2025-05-05,3549.42
2025-05-06,3545.91
2025-05-07,3541.96
2025-05-08,3538.31
2025-05-09,3534.46
2025-05-12,3537.83
2025-05-13,3536.94
2025-05-14,3537.4
2025-05-15,3539.07
2025-05-16,3539.94
2025-05-19,3539.11
2025-05-20,3537.51
2025-05-21,3537.05
2025-05-22,3534.7
2025-05-23,3533.91
2025-05-26,3534.04
2025-05-27,3532.65
2025-05-28,3531.28
2025-05-29,3529.98
2025-05-30,3527.37
2025-06-02,3524.33
2025-06-03,3519.66
2025-06-04,3514.22
2025-06-05,3508.6
2025-06-06,3503.73
