tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003051,Tata Consultancy Services,,2025-05-02,,2025-06-19,AGM
S0003051,Tata Consultancy Services,,2025-03-26,,2025-04-26,POM
S0003051,Tata Consultancy Services,,2024-05-13,,2024-05-31,AGM
S0003051,Tata Consultancy Services,Buy Back of Shares,2023-11-16,,2023-11-25,Others
S0003051,Tata Consultancy Services,,2023-10-17,,2023-11-17,POM
S0003051,Tata Consultancy Services,,2023-04-12,,2023-06-29,AGM
S0003051,Tata Consultancy Services,,2023-01-13,,2023-02-14,POM
S0003051,Tata Consultancy Services,,2022-05-19,,2022-06-09,AGM
S0003051,Tata Consultancy Services,,2022-03-21,,2022-04-19,POM
S0003051,Tata Consultancy Services,,2022-01-14,,2022-02-15,POM
S0003051,Tata Consultancy Services,,2021-05-19,,2021-06-10,AGM
S0003051,Tata Consultancy Services,Buy Back of Shares,2022-02-14,2022-02-23,,Others
