displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,2211.00,,,2022,Annual
Cash Equivalents ,CashEquivalents,10277.00,,,2022,Annual
Short Term Investments ,ShortTermInvestments,35769.00,,,2022,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,48257.00,,,2022,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,46706.00,,,2022,Annual
Total Receivables Net ,TotalReceivablesNet,54478.00,,,2022,Annual
Total Inventory ,TotalInventory,224.00,,,2022,Annual
Prepaid Expenses ,PrepaidExpenses,3012.00,,,2022,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,2339.00,,,2022,Annual
Total Current Assets ,TotalCurrentAssets,108310.00,,,2022,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,39141.00,,,2022,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-19526,,,2022,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,19615.00,,,2022,Annual
Goodwill Net ,GoodwillNet,1787.00,,,2022,Annual
Intangibles Net ,IntangiblesNet,1101.00,,,2022,Annual
Long Term Investments ,LongTermInvestments,1455.00,,,2022,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,2766.00,,,2022,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,6480.00,,,2022,Annual
Total Assets ,TotalAssets,141514.00,,,2022,Annual
Accounts Payable ,AccountsPayable,8045.00,,,2022,Annual
Accrued Expenses ,AccruedExpenses,13014.00,,,2022,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2022,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,1450.00,,,2022,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,19842.00,,,2022,Annual
Total Current Liabilities ,TotalCurrentLiabilities,42351.00,,,2022,Annual
Capital Lease Obligations ,CapitalLeaseObligations,6368.00,,,2022,Annual
Total Long Term Debt ,TotalLongTermDebt,6368.00,,,2022,Annual
Total Debt ,TotalDebt,7818.00,,,2022,Annual
Deferred Income Tax ,DeferredIncomeTax,590.00,,,2022,Annual
Minority Interest ,MinorityInterest,707.00,,,2022,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,2359.00,,,2022,Annual
Total Liabilities ,TotalLiabilities,52375.00,,,2022,Annual
Common Stock Total ,CommonStockTotal,370.00,,,2022,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),86122.00,,,2022,Annual
Treasury Stock- Common ,TreasuryStock-Common,-4,,,2022,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),488.00,,,2022,Annual
Other Equity Total ,OtherEquityTotal,2163.00,,,2022,Annual
Total Equity ,TotalEquity,89139.00,,,2022,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,141514.00,,,2022,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,365.91,,,2022,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,235.72,,,2022,Annual
period Length ,periodLength,0.00,,,2022,Annual
