displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,38449.00,,,2022,Annual
Depreciation/ Depletion ,Depreciation/Depletion,4604.00,,,2022,Annual
Non- Cash Items ,Non-CashItems,11151.00,,,2022,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-14255,,,2022,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,39949.00,,,2022,Annual
Capital Expenditures ,CapitalExpenditures,-2995,,,2022,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,2098.00,,,2022,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-897,,,2022,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-847,,,2022,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-13317,,,2022,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-18000,,,2022,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-1417,,,2022,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-33581,,,2022,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,159.00,,,2022,Annual
Net Changein Cash ,NetChangeinCash,5630.00,,,2022,Annual
Cash Interest Paid ,CashInterestPaid,698.00,,,2022,Annual
Cash Taxes Paid ,CashTaxesPaid,11486.00,,,2022,Annual
period Length ,periodLength,12,,,2022,Annual
period Type ,periodType,Months,,,2022,Annual
