displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,240893.00,,,2024,Annual
Total Revenue ,TotalRevenue,240893.00,,,2024,Annual
Costof Revenue Total ,CostofRevenueTotal,3702.00,,,2024,Annual
Gross Profit ,GrossProfit,237191.00,,,2024,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,168413.00,,,2024,Annual
Depreciation/ Amortization ,Depreciation/Amortization,4985.00,,,2024,Annual
Unusual Expense( Income) ,UnusualExpense(Income),951.00,,,2024,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,4482.00,,,2024,Annual
Total Operating Expense ,TotalOperatingExpense,182533.00,,,2024,Annual
Operating Income ,OperatingIncome,58360.00,,,2024,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,3839.00,,,2024,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,7.00,,,2024,Annual
Other Net ,OtherNet,-209,,,2024,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,61997.00,,,2024,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,15898.00,,,2024,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,46099.00,,,2024,Annual
Minority Interest ,MinorityInterest,-191,,,2024,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,45908.00,,,2024,Annual
Net Income ,NetIncome,45908.00,,,2024,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,45908.00,,,2024,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,45908.00,,,2024,Annual
Diluted Net Income ,DilutedNetIncome,45908.00,,,2024,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,364.69,,,2024,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,125.88,,,2024,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,55.00,,,2024,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,127.81,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
