displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,61237.00,,,2024,Interim
Total Revenue ,TotalRevenue,61237.00,,,2024,Interim
Costof Revenue Total ,CostofRevenueTotal,1561.00,,,2024,Interim
Gross Profit ,GrossProfit,59676.00,,,2024,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,41335.00,,,2024,Interim
Depreciation/ Amortization ,Depreciation/Amortization,1246.00,,,2024,Interim
Unusual Expense( Income) ,UnusualExpense(Income),-6,,,2024,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,1177.00,,,2024,Interim
Total Operating Expense ,TotalOperatingExpense,45313.00,,,2024,Interim
Operating Income ,OperatingIncome,15924.00,,,2024,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,991.00,,,2024,Interim
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,1.00,,,2024,Interim
Other Net ,OtherNet,-67,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,16849.00,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,4347.00,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,12502.00,,,2024,Interim
Minority Interest ,MinorityInterest,-68,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,12434.00,,,2024,Interim
Net Income ,NetIncome,12434.00,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,12434.00,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,12434.00,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,12434.00,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,361.83,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,34.36,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,28.00,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,34.35,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
