displayName,key,value
Market Cap,marketCap,1224975.89
52 week Low Date,52WeekLowDate,2025-04-07T00:00:00
Price - 1 Day % Change,price1DayPercentChange,-0.29
Relative (S&P500) price percent change - 13 week,relativePricePercentChange13Week,-14.56
Avg trading volume last 10 days,avgTradingVolumeLast10Days,2.34
Price - 13 week price percent change,price13WeekPricePercentChange,-6.40
Price - 52 week price percent change,price52WeekPricePercentChange,-8.58
Avg Trading Volume Last 3 months,avgTradingVolumeLast3months,52.46
Price - 5 Day % Change,price5DayPercentChange,-3.63
Price % Change Month To Date,pricePercentChangeMonthToDate,-2.67
Relative (S&P500) price percent change - 04 week,relativePricePercentChange-04week,-3.58
52 week High Date,52WeekHighDate,2024-08-30T00:00:00
Price - 26 week price percent change,price26WeekPricePercentChange,-23.28
PDATE,PDATE,2025-06-05T00:00:00
Price - YTD price percent change,priceYTDPricePercentChange,-16.36
Relative (S&P500) price percent change - 52 week,relativePricePercentChange52Week,-16.51
NPRICE,NPRICE,3371.10
Relative (S&P500) price percent change - 26 week,relativePricePercentChange26Week,-22.97
52 week Low,52WeekLow,3056.05
52 week High,52WeekHigh,4520.19
Beta,beta,0.79
Relative (S&P500) price percent change - Year to Date,relativePricePercentChangeYearToDate,-19.75
