tickerId,companyName,remarks,boardMeetDate,purpose
S0003115,Tech Mahindra,,2025-04-24,Audited Results & Final Dividend
S0003115,Tech Mahindra,To consider other business matters.,2025-01-17,Quarterly Results & Others
S0003115,Tech Mahindra,,2024-10-19,Quarterly Results & Interim Dividend
S0003115,Tech Mahindra,,2024-07-25,Quarterly Results
S0003115,Tech Mahindra,,2024-04-25,Audited Results & Final Dividend
S0003115,Tech Mahindra,,2024-01-24,Quarterly Results
S0003115,Tech Mahindra,,2023-10-25,Quarterly Results & Interim Dividend
S0003115,Tech Mahindra,,2023-07-26,Audited Results
S0003115,Tech Mahindra,,2023-04-27,Audited Results & Final Dividend
S0003115,Tech Mahindra,,2023-01-30,Quarterly Results
S0003115,Tech Mahindra,,2022-11-01,Audited Results & Interim Dividend
S0003115,Tech Mahindra,,2022-07-25,Quarterly Results
S0003115,Tech Mahindra,,2022-05-13,Audited Results & Dividend
S0003115,Tech Mahindra,,2022-02-01,Quarterly Results
S0003115,Tech Mahindra,,2021-10-25,Quarterly Results & Special Dividend
S0003115,Tech Mahindra,,2021-07-29,Quarterly Results
S0003115,Tech Mahindra,,2021-04-26,Audited Results & Dividend
S0003115,Tech Mahindra,,2021-01-30,Quarterly Results
S0003115,Tech Mahindra,,2021-01-29,Quarterly Results
