displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,2378.50,,,2022,Annual
Cash Equivalents ,CashEquivalents,1410.40,,,2022,Annual
Short Term Investments ,ShortTermInvestments,4500.80,,,2022,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,8289.70,,,2022,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,13086.60,,,2022,Annual
Total Receivables Net ,TotalReceivablesNet,13976.00,,,2022,Annual
Total Inventory ,TotalInventory,40.50,,,2022,Annual
Prepaid Expenses ,PrepaidExpenses,1175.40,,,2022,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,974.10,,,2022,Annual
Total Current Assets ,TotalCurrentAssets,24455.70,,,2022,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,12049.90,,,2022,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-8430.40,,,2022,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,3784.60,,,2022,Annual
Goodwill Net ,GoodwillNet,7425.80,,,2022,Annual
Intangibles Net ,IntangiblesNet,3658.60,,,2022,Annual
Long Term Investments ,LongTermInvestments,527.60,,,2022,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,2864.80,,,2022,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,2153.60,,,2022,Annual
Total Assets ,TotalAssets,44870.70,,,2022,Annual
Accounts Payable ,AccountsPayable,4094.70,,,2022,Annual
Accrued Expenses ,AccruedExpenses,947.70,,,2022,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,1348.10,,,2022,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,408.30,,,2022,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,5706.00,,,2022,Annual
Total Current Liabilities ,TotalCurrentLiabilities,12504.80,,,2022,Annual
Long Term Debt ,LongTermDebt,142.00,,,2022,Annual
Capital Lease Obligations ,CapitalLeaseObligations,720.00,,,2022,Annual
Total Long Term Debt ,TotalLongTermDebt,862.00,,,2022,Annual
Total Debt ,TotalDebt,2618.40,,,2022,Annual
Deferred Income Tax ,DeferredIncomeTax,455.20,,,2022,Annual
Minority Interest ,MinorityInterest,495.40,,,2022,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,3667.60,,,2022,Annual
Total Liabilities ,TotalLiabilities,17985.00,,,2022,Annual
Common Stock Total ,CommonStockTotal,485.90,,,2022,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,1285.10,,,2022,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),24186.40,,,2022,Annual
Treasury Stock- Common ,TreasuryStock-Common,-47.10,,,2022,Annual
Other Equity Total ,OtherEquityTotal,975.40,,,2022,Annual
Total Equity ,TotalEquity,26885.70,,,2022,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,44870.70,,,2022,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,87.76,,,2022,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,180.05,,,2022,Annual
period Length ,periodLength,0.00,,,2022,Annual
