displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,4542.20,,,2025,Annual
Short Term Investments ,ShortTermInvestments,3305.10,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,7847.30,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,11547.00,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,11547.00,,,2025,Annual
Total Inventory ,TotalInventory,39.40,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,4245.50,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,23679.20,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,3919.70,,,2025,Annual
Goodwill Net ,GoodwillNet,7699.30,,,2025,Annual
Intangibles Net ,IntangiblesNet,2349.10,,,2025,Annual
Long Term Investments ,LongTermInvestments,860.70,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,3066.50,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,2920.00,,,2025,Annual
Total Assets ,TotalAssets,44494.50,,,2025,Annual
Accounts Payable ,AccountsPayable,4410.80,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,878.00,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,7385.20,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,12674.00,,,2025,Annual
Long Term Debt ,LongTermDebt,0.00,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,1147.20,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,1147.20,,,2025,Annual
Total Debt ,TotalDebt,2025.20,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,227.90,,,2025,Annual
Minority Interest ,MinorityInterest,430.20,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,2653.70,,,2025,Annual
Total Liabilities ,TotalLiabilities,17133.00,,,2025,Annual
Common Stock Total ,CommonStockTotal,442.40,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),26919.10,,,2025,Annual
Total Equity ,TotalEquity,27361.50,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,44494.50,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,88.48,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,195.68,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
