displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,3224.40,,,2024,Annual
Depreciation/ Depletion ,Depreciation/Depletion,1817.10,,,2024,Annual
Non- Cash Items ,Non-CashItems,1283.10,,,2024,Annual
Changesin Working Capital ,ChangesinWorkingCapital,51.80,,,2024,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,6376.40,,,2024,Annual
Capital Expenditures ,CapitalExpenditures,-791.10,,,2024,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-522.60,,,2024,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-1313.70,,,2024,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-350.70,,,2024,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-3917,,,2024,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,23.80,,,2024,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-523.30,,,2024,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-4767.20,,,2024,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,-4.70,,,2024,Annual
Net Changein Cash ,NetChangeinCash,290.80,,,2024,Annual
Cash Interest Paid ,CashInterestPaid,350.70,,,2024,Annual
Cash Taxes Paid ,CashTaxesPaid,1246.90,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
