displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,44646.00,,,2022,Annual
Total Revenue ,TotalRevenue,44646.00,,,2022,Annual
Costof Revenue Total ,CostofRevenueTotal,7097.00,,,2022,Annual
Gross Profit ,GrossProfit,37549.00,,,2022,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,29360.10,,,2022,Annual
Depreciation/ Amortization ,Depreciation/Amortization,1511.00,,,2022,Annual
Interest Exp( Inc) Net- Operating Total ,InterestExp(Inc)Net-OperatingTotal,9.40,,,2022,Annual
Unusual Expense( Income) ,UnusualExpense(Income),0.00,,,2022,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,127.40,,,2022,Annual
Total Operating Expense ,TotalOperatingExpense,38104.90,,,2022,Annual
Operating Income ,OperatingIncome,6541.10,,,2022,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,782.80,,,2022,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,6.30,,,2022,Annual
Other Net ,OtherNet,121.90,,,2022,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,7452.10,,,2022,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,1822.00,,,2022,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,5630.10,,,2022,Annual
Minority Interest ,MinorityInterest,-64,,,2022,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,5566.10,,,2022,Annual
Net Income ,NetIncome,5566.10,,,2022,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,5566.10,,,2022,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,5566.10,,,2022,Annual
Diluted Net Income ,DilutedNetIncome,5566.10,,,2022,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,88.62,,,2022,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,62.81,,,2022,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,15.00,,,2022,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,62.76,,,2022,Annual
period Length ,periodLength,12,,,2022,Annual
period Type ,periodType,Months,,,2022,Annual
