displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,13005.50,,,2025,Interim
Total Revenue ,TotalRevenue,13005.50,,,2025,Interim
Costof Revenue Total ,CostofRevenueTotal,1506.50,,,2025,Interim
Gross Profit ,GrossProfit,11499.00,,,2025,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,7331.50,,,2025,Interim
Depreciation/ Amortization ,Depreciation/Amortization,462.20,,,2025,Interim
Unusual Expense( Income) ,UnusualExpense(Income),0.00,,,2025,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,2603.00,,,2025,Interim
Total Operating Expense ,TotalOperatingExpense,11903.20,,,2025,Interim
Operating Income ,OperatingIncome,1102.30,,,2025,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-68.90,,,2025,Interim
Other Net ,OtherNet,144.70,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,1178.10,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,313.30,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,864.80,,,2025,Interim
Minority Interest ,MinorityInterest,-13.30,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,851.50,,,2025,Interim
Net Income ,NetIncome,851.50,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,851.50,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,851.50,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,851.50,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,88.70,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,9.60,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,9.60,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
