Date,Price on NSE
2024-06-06,1317.45
2024-06-07,1377.6
2024-06-10,1340.35
2024-06-11,1349.45
2024-06-12,1370.6
2024-06-13,1388.95
2024-06-14,1371.45
2024-06-18,1371.35
2024-06-19,1381.15
2024-06-20,1393.1
2024-06-21,1399.8
2024-06-24,1401.7
2024-06-25,1427.75
2024-06-26,1413.05
2024-06-27,1432.25
2024-06-28,1430.35
2024-07-01,1472.1
2024-07-02,1472.15
2024-07-03,1479.8
2024-07-04,1459.15
2024-07-05,1461.35
2024-07-08,1467.6
2024-07-09,1465.75
2024-07-10,1463.35
2024-07-11,1460.6
2024-07-12,1505.05
2024-07-15,1499.05
2024-07-16,1516.2
2024-07-18,1539.35
2024-07-19,1491.4
2024-07-22,1495.55
2024-07-23,1493.4
2024-07-24,1533.3
2024-07-25,1530.0
2024-07-26,1541.15
2024-07-29,1525.35
2024-07-30,1538.05
2024-07-31,1554.4
2024-08-01,1544.45
2024-08-02,1507.7
2024-08-05,1456.35
2024-08-06,1483.4
2024-08-07,1473.65
2024-08-08,1466.45
2024-08-09,1506.7
2024-08-12,1512.5
2024-08-13,1503.4
2024-08-14,1524.4
2024-08-16,1585.3
2024-08-19,1594.65
2024-08-20,1628.6
2024-08-21,1604.65
2024-08-22,1611.25
2024-08-23,1598.4
2024-08-26,1640.15
2024-08-27,1624.6
2024-08-28,1627.35
2024-08-29,1647.35
2024-08-30,1636.5
2024-09-02,1646.65
2024-09-03,1644.1
2024-09-04,1645.3
2024-09-05,1639.5
2024-09-06,1623.25
2024-09-09,1579.2
2024-09-10,1607.4
2024-09-11,1602.6
2024-09-12,1643.25
2024-09-13,1656.05
2024-09-16,1649.0
2024-09-17,1651.55
2024-09-18,1605.4
2024-09-19,1595.35
2024-09-20,1622.05
2024-09-23,1607.15
2024-09-24,1637.1
2024-09-25,1602.75
2024-09-26,1606.95
2024-09-27,1609.25
2024-09-30,1577.2
2024-10-01,1625.4
2024-10-03,1604.05
2024-10-04,1616.45
2024-10-07,1618.55
2024-10-08,1629.1
2024-10-09,1658.8
2024-10-10,1619.7
2024-10-11,1647.05
2024-10-14,1692.5
2024-10-15,1675.35
2024-10-16,1660.3
2024-10-17,1699.0
2024-10-18,1687.9
2024-10-21,1701.2
2024-10-22,1696.55
2024-10-23,1735.95
2024-10-24,1735.75
2024-10-25,1716.45
2024-10-28,1702.55
2024-10-29,1698.5
2024-10-30,1684.95
2024-10-31,1608.65
2024-11-01,1603.65
2024-11-04,1638.4
2024-11-05,1632.65
2024-11-06,1693.55
2024-11-07,1651.0
2024-11-08,1681.35
2024-11-11,1704.15
2024-11-12,1687.0
2024-11-13,1675.6
2024-11-14,1687.5
2024-11-18,1660.8
2024-11-19,1699.65
2024-11-21,1702.25
2024-11-22,1747.45
2024-11-25,1732.6
2024-11-26,1745.4
2024-11-27,1756.8
2024-11-28,1713.35
2024-11-29,1712.3
2024-12-02,1745.95
2024-12-03,1749.5
2024-12-04,1759.6
2024-12-05,1786.95
2024-12-06,1782.8
2024-12-09,1777.85
2024-12-10,1763.55
2024-12-11,1762.8
2024-12-12,1789.6
2024-12-13,1796.4
2024-12-16,1775.55
2024-12-17,1770.75
2024-12-18,1778.9
2024-12-19,1754.35
2024-12-20,1686.05
2024-12-23,1712.4
2024-12-24,1704.9
2024-12-26,1698.7
2024-12-27,1711.65
2024-12-30,1740.85
2024-12-31,1706.2
2025-01-01,1703.85
2025-01-02,1726.95
2025-01-03,1689.45
2025-01-06,1686.3
2025-01-07,1671.15
2025-01-08,1663.75
2025-01-09,1642.8
2025-01-10,1705.6
2025-01-13,1659.65
2025-01-14,1647.5
2025-01-15,1675.95
2025-01-16,1687.65
2025-01-17,1660.3
2025-01-20,1674.6
2025-01-21,1640.5
2025-01-22,1683.95
2025-01-23,1713.4
2025-01-24,1723.05
2025-01-27,1653.9
2025-01-28,1648.35
2025-01-29,1681.15
2025-01-30,1670.1
2025-01-31,1674.45
2025-02-01,1646.4
2025-02-03,1654.7
2025-02-04,1659.05
2025-02-05,1661.0
2025-02-06,1669.6
2025-02-07,1692.1
2025-02-10,1699.05
2025-02-11,1669.1
2025-02-12,1680.2
2025-02-13,1675.3
2025-02-14,1659.1
2025-02-17,1664.95
2025-02-18,1705.0
2025-02-19,1685.8
2025-02-20,1657.85
2025-02-21,1649.5
2025-02-24,1613.7
2025-02-25,1593.95
2025-02-27,1588.25
2025-02-28,1487.85
2025-03-03,1493.05
2025-03-04,1488.25
2025-03-05,1538.1
2025-03-06,1503.45
2025-03-07,1492.35
2025-03-10,1486.85
2025-03-11,1479.2
