Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,60,67,52,60,3,60,42
ThirtyDaysAgo,INR,60,67,52,61,3,60,41
SixtyDaysAgo,INR,61,70,52,62,3,60,40
NinetyDaysAgo,INR,63,70,52,63,3,62,40
OneWeekAgo,INR,74,86,63,75,4,75,41
ThirtyDaysAgo,INR,74,86,63,76,4,75,40
SixtyDaysAgo,INR,76,87,66,77,5,74,38
NinetyDaysAgo,INR,78,87,66,79,5,78,37
OneWeekAgo,INR,83,92,72,83,5,83,17
ThirtyDaysAgo,INR,83,92,72,83,5,83,16
SixtyDaysAgo,INR,93,99,89,91,4,93,3
NinetyDaysAgo,INR,95,99,92,95,2,95,3
