displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,75.47,,,2020,Annual
Short Term Investments ,ShortTermInvestments,368.76,,,2020,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,444.23,,,2020,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,413.94,,,2020,Annual
Total Receivables Net ,TotalReceivablesNet,1082.93,,,2020,Annual
Total Inventory ,TotalInventory,8188.52,,,2020,Annual
Prepaid Expenses ,PrepaidExpenses,32.54,,,2020,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,372.08,,,2020,Annual
Total Current Assets ,TotalCurrentAssets,10120.30,,,2020,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,2846.91,,,2020,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-615.27,,,2020,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,2231.64,,,2020,Annual
Goodwill Net ,GoodwillNet,123.01,,,2020,Annual
Intangibles Net ,IntangiblesNet,273.00,,,2020,Annual
Long Term Investments ,LongTermInvestments,68.38,,,2020,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,452.55,,,2020,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,280.91,,,2020,Annual
Total Assets ,TotalAssets,13549.79,,,2020,Annual
Accounts Payable ,AccountsPayable,596.71,,,2020,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,2290.45,,,2020,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,197.29,,,2020,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,2542.10,,,2020,Annual
Total Current Liabilities ,TotalCurrentLiabilities,5626.55,,,2020,Annual
Long Term Debt ,LongTermDebt,16.97,,,2020,Annual
Capital Lease Obligations ,CapitalLeaseObligations,1056.29,,,2020,Annual
Total Long Term Debt ,TotalLongTermDebt,1073.26,,,2020,Annual
Total Debt ,TotalDebt,3561.00,,,2020,Annual
Deferred Income Tax ,DeferredIncomeTax,6.19,,,2020,Annual
Minority Interest ,MinorityInterest,4.40,,,2020,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,166.24,,,2020,Annual
Total Liabilities ,TotalLiabilities,6876.64,,,2020,Annual
Common Stock Total ,CommonStockTotal,88.78,,,2020,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,140.94,,,2020,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),6657.68,,,2020,Annual
ESOP Debt Guarantee ,ESOPDebtGuarantee,3.90,,,2020,Annual
Other Equity Total ,OtherEquityTotal,-218.15,,,2020,Annual
Total Equity ,TotalEquity,6673.15,,,2020,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,13549.79,,,2020,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,88.78,,,2020,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,70.70,,,2020,Annual
period Length ,periodLength,0.00,,,2020,Annual
