displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,4623.00,,,2024,Annual
Depreciation/ Depletion ,Depreciation/Depletion,584.00,,,2024,Annual
Non- Cash Items ,Non-CashItems,197.00,,,2024,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-3709,,,2024,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,1695.00,,,2024,Annual
Capital Expenditures ,CapitalExpenditures,-691,,,2024,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,502.00,,,2024,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-189,,,2024,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-5516,,,2024,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-888,,,2024,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-236,,,2024,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,5311.00,,,2024,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-1329,,,2024,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,0.00,,,2024,Annual
Net Changein Cash ,NetChangeinCash,177.00,,,2024,Annual
Cash Interest Paid ,CashInterestPaid,619.00,,,2024,Annual
Cash Taxes Paid ,CashTaxesPaid,1173.00,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
