displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,28799.00,,,2022,Annual
Total Revenue ,TotalRevenue,28799.00,,,2022,Annual
Costof Revenue Total ,CostofRevenueTotal,21730.00,,,2022,Annual
Gross Profit ,GrossProfit,7069.00,,,2022,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,3233.00,,,2022,Annual
Depreciation/ Amortization ,Depreciation/Amortization,399.00,,,2022,Annual
Unusual Expense( Income) ,UnusualExpense(Income),72.00,,,2022,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,474.00,,,2022,Annual
Total Operating Expense ,TotalOperatingExpense,25908.00,,,2022,Annual
Operating Income ,OperatingIncome,2891.00,,,2022,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-35,,,2022,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-3,,,2022,Annual
Other Net ,OtherNet,51.00,,,2022,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,2904.00,,,2022,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,706.00,,,2022,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,2198.00,,,2022,Annual
Minority Interest ,MinorityInterest,-25,,,2022,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,2173.00,,,2022,Annual
Net Income ,NetIncome,2173.00,,,2022,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,2173.00,,,2022,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,2173.00,,,2022,Annual
Diluted Net Income ,DilutedNetIncome,2173.00,,,2022,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,88.78,,,2022,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,24.48,,,2022,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,7.50,,,2022,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,25.12,,,2022,Annual
period Length ,periodLength,12,,,2022,Annual
period Type ,periodType,Months,,,2022,Annual
