displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,-4.50
"Revenue growth rate, 5 year",revenueGrowthRate5Year,23.49
"EPS growth rate, 5 year",ePSGrowthRate5Year,17.33
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,19.39
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,13.62
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,15.39
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),23.50
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,12.23
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,18.21
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,6.83
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,18.35
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,28.04
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,11.74
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),12.96
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,-4.89
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,18.21
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,42.30
