Date,Price on NSE
2024-06-06,3321.65
2024-06-07,3444.05
2024-06-10,3422.2
2024-06-11,3410.7
2024-06-12,3382.3
2024-06-13,3472.2
2024-06-14,3530.05
2024-06-18,3589.0
2024-06-19,3462.35
2024-06-20,3435.95
2024-06-21,3399.75
2024-06-24,3412.35
2024-06-25,3402.45
2024-06-26,3372.75
2024-06-27,3380.6
2024-06-28,3404.2
2024-07-01,3431.45
2024-07-02,3399.65
2024-07-03,3360.25
2024-07-04,3336.0
2024-07-05,3269.35
2024-07-08,3156.2
2024-07-09,3215.15
2024-07-10,3225.0
2024-07-11,3248.6
2024-07-12,3229.85
2024-07-15,3224.2
2024-07-16,3234.05
2024-07-18,3262.1
2024-07-19,3259.0
2024-07-22,3254.45
2024-07-23,3466.85
2024-07-24,3478.4
2024-07-25,3405.8
2024-07-26,3494.15
2024-07-29,3411.7
2024-07-30,3468.25
2024-07-31,3458.95
2024-08-01,3468.35
2024-08-02,3462.35
2024-08-05,3375.95
2024-08-06,3335.1
2024-08-07,3326.25
2024-08-08,3296.5
2024-08-09,3331.7
2024-08-12,3320.85
2024-08-13,3383.55
2024-08-14,3402.15
2024-08-16,3444.75
2024-08-19,3464.85
2024-08-20,3474.9
2024-08-21,3560.4
2024-08-22,3604.4
2024-08-23,3570.0
2024-08-26,3630.2
2024-08-27,3551.25
2024-08-28,3527.5
2024-08-29,3533.2
2024-08-30,3565.15
2024-09-02,3587.55
2024-09-03,3621.15
2024-09-04,3607.7
2024-09-05,3722.85
2024-09-06,3695.5
2024-09-09,3684.55
2024-09-10,3727.4
2024-09-11,3711.1
2024-09-12,3764.25
2024-09-13,3767.0
2024-09-16,3740.65
2024-09-17,3767.4
2024-09-18,3725.35
2024-09-19,3780.95
2024-09-20,3797.2
2024-09-23,3820.1
2024-09-24,3784.9
2024-09-25,3737.25
2024-09-26,3757.55
2024-09-27,3816.7
2024-09-30,3823.95
2024-10-01,3775.95
2024-10-03,3674.95
2024-10-04,3670.1
2024-10-07,3589.25
2024-10-08,3493.35
2024-10-09,3493.45
2024-10-10,3447.25
2024-10-11,3474.4
2024-10-14,3497.8
2024-10-15,3508.5
2024-10-16,3471.0
2024-10-17,3403.35
2024-10-18,3381.45
2024-10-21,3363.25
2024-10-22,3329.8
2024-10-23,3288.6
2024-10-24,3330.9
2024-10-25,3266.55
2024-10-28,3283.05
2024-10-29,3283.4
2024-10-30,3308.45
2024-10-31,3267.05
2024-11-01,3293.7
2024-11-04,3222.0
2024-11-05,3230.25
2024-11-06,3177.05
2024-11-07,3120.85
