Date,50 DMA
2024-06-06,9858.15
2024-06-07,9881.87
2024-06-10,9918.91
2024-06-11,9958.7
2024-06-12,10001.29
2024-06-13,10047.27
2024-06-14,10094.15
2024-06-18,10134.34
2024-06-19,10168.12
2024-06-20,10196.94
2024-06-21,10215.2
2024-06-24,10237.58
2024-06-25,10261.45
2024-06-26,10296.02
2024-06-27,10351.74
2024-06-28,10403.35
2024-07-01,10462.23
2024-07-02,10516.8
2024-07-03,10569.95
2024-07-04,10616.62
2024-07-05,10658.72
2024-07-08,10694.96
2024-07-09,10733.58
2024-07-10,10768.9
2024-07-11,10799.73
2024-07-12,10831.2
2024-07-15,10870.52
2024-07-16,10901.42
2024-07-18,10930.67
2024-07-19,10943.52
2024-07-22,10965.96
2024-07-23,10988.7
2024-07-24,11006.92
2024-07-25,11023.96
2024-07-26,11049.42
2024-07-29,11081.75
2024-07-30,11110.17
2024-07-31,11140.64
2024-08-01,11173.73
2024-08-02,11196.9
2024-08-05,11205.54
2024-08-06,11210.24
2024-08-07,11223.29
2024-08-08,11224.65
2024-08-09,11227.62
2024-08-12,11230.57
2024-08-13,11232.17
2024-08-14,11223.16
2024-08-16,11226.01
2024-08-19,11229.51
2024-08-20,11234.23
2024-08-21,11232.92
2024-08-22,11235.92
2024-08-23,11240.07
2024-08-26,11243.87
2024-08-27,11246.09
2024-08-28,11245.65
2024-08-29,11244.72
2024-08-30,11246.96
2024-09-02,11253.94
2024-09-03,11262.05
2024-09-04,11274.54
2024-09-05,11285.05
2024-09-06,11290.85
2024-09-09,11298.83
2024-09-10,11308.33
2024-09-11,11315.35
2024-09-12,11330.84
2024-09-13,11346.02
2024-09-16,11357.65
2024-09-17,11368.95
2024-09-18,11379.22
2024-09-19,11388.96
2024-09-20,11405.01
2024-09-23,11426.85
2024-09-24,11439.98
2024-09-25,11454.74
2024-09-26,11478.67
2024-09-27,11497.24
2024-09-30,11509.2
2024-10-01,11522.06
2024-10-03,11530.01
2024-10-04,11526.88
2024-10-07,11515.25
2024-10-08,11510.33
2024-10-09,11504.05
2024-10-10,11501.15
2024-10-11,11498.02
2024-10-14,11490.26
2024-10-15,11487.39
2024-10-16,11480.91
2024-10-17,11462.73
2024-10-18,11447.3
2024-10-21,11424.64
2024-10-22,11401.13
2024-10-23,11375.71
2024-10-24,11362.69
2024-10-25,11348.28
2024-10-28,11338.25
2024-10-29,11329.38
2024-10-30,11324.51
2024-10-31,11314.36
2024-11-01,11307.75
2024-11-04,11295.75
2024-11-05,11291.07
2024-11-06,11290.41
2024-11-07,11281.02
2024-11-08,11271.7
2024-11-11,11259.88
2024-11-12,11245.46
2024-11-13,11227.29
2024-11-14,11207.73
2024-11-18,11185.11
2024-11-19,11168.81
2024-11-21,11160.42
2024-11-22,11168.85
2024-11-25,11180.17
2024-11-26,11177.85
2024-11-27,11176.36
2024-11-28,11169.36
2024-11-29,11170.64
2024-12-02,11189.38
2024-12-03,11215.38
2024-12-04,11237.01
2024-12-05,11264.29
2024-12-06,11287.2
2024-12-09,11307.89
2024-12-10,11325.07
2024-12-11,11347.55
2024-12-12,11367.53
2024-12-13,11395.62
2024-12-16,11417.07
2024-12-17,11431.1
2024-12-18,11444.16
2024-12-19,11453.04
2024-12-20,11451.86
2024-12-23,11452.67
2024-12-24,11450.23
2024-12-26,11450.64
2024-12-27,11448.91
2024-12-30,11442.61
2024-12-31,11441.97
2025-01-01,11442.17
2025-01-02,11456.11
2025-01-03,11469.05
2025-01-06,11470.4
2025-01-07,11476.21
2025-01-08,11473.36
2025-01-09,11464.99
2025-01-10,11441.47
2025-01-13,11409.06
2025-01-14,11372.78
2025-01-15,11339.4
2025-01-16,11311.82
2025-01-17,11283.12
2025-01-20,11257.29
2025-01-21,11234.18
2025-01-22,11212.98
2025-01-23,11221.14
2025-01-24,11223.67
2025-01-27,11224.3
2025-01-28,11227.12
2025-01-29,11239.58
2025-01-30,11248.99
2025-01-31,11258.34
2025-02-01,11258.37
2025-02-03,11255.09
2025-02-04,11265.44
2025-02-05,11278.0
2025-02-06,11285.82
2025-02-07,11299.73
2025-02-10,11308.85
2025-02-11,11308.51
2025-02-12,11315.18
2025-02-13,11324.25
2025-02-14,11321.88
2025-02-17,11328.48
2025-02-18,11327.71
2025-02-19,11326.29
2025-02-20,11324.77
2025-02-21,11318.2
2025-02-24,11307.4
2025-02-25,11293.94
2025-02-27,11260.75
2025-02-28,11216.35
2025-03-03,11182.01
2025-03-04,11150.17
2025-03-05,11123.27
2025-03-06,11098.57
2025-03-07,11078.33
2025-03-10,11056.44
2025-03-11,11032.24
2025-03-12,11012.16
2025-03-13,10990.2
2025-03-17,10972.82
2025-03-18,10962.05
2025-03-19,10960.92
2025-03-20,10960.42
2025-03-21,10961.06
2025-03-24,10964.6
2025-03-25,10982.5
2025-03-26,10998.96
2025-03-27,11022.51
2025-03-28,11041.61
2025-04-01,11054.83
2025-04-02,11062.52
2025-04-03,11083.86
2025-04-04,11100.12
2025-04-07,11103.71
2025-04-08,11110.25
2025-04-09,11121.5
2025-04-11,11136.44
2025-04-15,11159.29
2025-04-16,11181.59
2025-04-17,11209.8
2025-04-21,11238.2
2025-04-22,11266.47
2025-04-23,11293.23
2025-04-24,11327.19
2025-04-25,11362.87
2025-04-28,11392.32
2025-04-29,11411.01
2025-04-30,11420.03
2025-05-02,11428.82
2025-05-05,11438.28
2025-05-06,11448.26
2025-05-07,11456.49
2025-05-08,11463.33
2025-05-09,11459.44
2025-05-12,11470.28
2025-05-13,11477.76
2025-05-14,11485.38
2025-05-15,11501.4
2025-05-16,11517.23
2025-05-19,11533.38
2025-05-20,11539.8
2025-05-21,11544.74
2025-05-22,11550.05
2025-05-23,11557.73
2025-05-26,11562.88
2025-05-27,11557.32
2025-05-28,11544.79
2025-05-29,11533.98
2025-05-30,11521.27
2025-06-02,11508.48
2025-06-03,11489.91
2025-06-04,11471.99
2025-06-05,11459.72
2025-06-06,11451.61
