displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,120.54,,,2022,Annual
Short Term Investments ,ShortTermInvestments,5026.80,,,2022,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,5147.34,,,2022,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,3064.84,,,2022,Annual
Total Receivables Net ,TotalReceivablesNet,5321.31,,,2022,Annual
Total Inventory ,TotalInventory,6427.93,,,2022,Annual
Prepaid Expenses ,PrepaidExpenses,213.72,,,2022,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,379.17,,,2022,Annual
Total Current Assets ,TotalCurrentAssets,17489.47,,,2022,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,57408.97,,,2022,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-13638.18,,,2022,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,48548.04,,,2022,Annual
Goodwill Net ,GoodwillNet,6250.21,,,2022,Annual
Intangibles Net ,IntangiblesNet,5473.99,,,2022,Annual
Long Term Investments ,LongTermInvestments,2482.41,,,2022,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,3562.64,,,2022,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,21.03,,,2022,Annual
Total Assets ,TotalAssets,83827.79,,,2022,Annual
Accounts Payable ,AccountsPayable,5862.83,,,2022,Annual
Accrued Expenses ,AccruedExpenses,138.26,,,2022,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,4899.84,,,2022,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,746.18,,,2022,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,8508.08,,,2022,Annual
Total Current Liabilities ,TotalCurrentLiabilities,20155.19,,,2022,Annual
Long Term Debt ,LongTermDebt,5303.00,,,2022,Annual
Capital Lease Obligations ,CapitalLeaseObligations,978.20,,,2022,Annual
Total Long Term Debt ,TotalLongTermDebt,6281.20,,,2022,Annual
Total Debt ,TotalDebt,11927.22,,,2022,Annual
Deferred Income Tax ,DeferredIncomeTax,6033.24,,,2022,Annual
Minority Interest ,MinorityInterest,-3.06,,,2022,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,925.95,,,2022,Annual
Total Liabilities ,TotalLiabilities,33392.52,,,2022,Annual
Common Stock Total ,CommonStockTotal,288.67,,,2022,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,5477.10,,,2022,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),44482.10,,,2022,Annual
Other Equity Total ,OtherEquityTotal,187.40,,,2022,Annual
Total Equity ,TotalEquity,50435.27,,,2022,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,83827.79,,,2022,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,28.87,,,2022,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,1341.01,,,2022,Annual
period Length ,periodLength,0.00,,,2022,Annual
