displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,63239.49,,,2023,Annual
Total Revenue ,TotalRevenue,63239.49,,,2023,Annual
Costof Revenue Total ,CostofRevenueTotal,31318.70,,,2023,Annual
Gross Profit ,GrossProfit,31920.79,,,2023,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,19835.37,,,2023,Annual
Depreciation/ Amortization ,Depreciation/Amortization,2865.41,,,2023,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,1488.28,,,2023,Annual
Total Operating Expense ,TotalOperatingExpense,55507.76,,,2023,Annual
Operating Income ,OperatingIncome,7731.73,,,2023,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-322.87,,,2023,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,0.34,,,2023,Annual
Other Net ,OtherNet,7.05,,,2023,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,7416.25,,,2023,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,2342.85,,,2023,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,5073.40,,,2023,Annual
Minority Interest ,MinorityInterest,-9.44,,,2023,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,5063.96,,,2023,Annual
Total Extraordinary Items ,TotalExtraordinaryItems,0.00,,,2023,Annual
Net Income ,NetIncome,5063.96,,,2023,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,5063.96,,,2023,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,5063.96,,,2023,Annual
Diluted Net Income ,DilutedNetIncome,5063.96,,,2023,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,28.85,,,2023,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,175.54,,,2023,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,38.00,,,2023,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,175.53,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
