Date,Price on NSE
2024-06-06,10054.95
2024-06-07,10463.15
2024-06-10,10826.25
2024-06-11,10933.55
2024-06-12,11044.8
2024-06-13,11173.8
2024-06-14,11242.8
2024-06-18,11119.05
2024-06-19,10995.55
2024-06-20,10903.2
2024-06-21,10662.4
2024-06-24,10786.0
2024-06-25,10846.2
2024-06-26,11143.1
2024-06-27,11716.7
2024-06-28,11667.9
2024-07-01,11904.65
2024-07-02,11853.95
2024-07-03,11872.1
2024-07-04,11760.05
2024-07-05,11690.15
2024-07-08,11582.9
2024-07-09,11679.8
2024-07-10,11634.25
2024-07-11,11554.95
2024-07-12,11602.3
2024-07-15,11833.65
2024-07-16,11658.7
2024-07-18,11647.25
2024-07-19,11258.3
2024-07-22,11515.7
2024-07-23,11545.8
2024-07-24,11453.4
2024-07-25,11441.5
2024-07-26,11673.05
2024-07-29,11873.8
2024-07-30,11806.45
2024-07-31,11887.2
2024-08-01,11984.5
2024-08-02,11764.5
2024-08-05,11417.25
2024-08-06,11325.3
2024-08-07,11543.2
2024-08-08,11258.0
2024-08-09,11300.35
2024-08-12,11302.85
2024-08-13,11271.2
2024-08-14,11002.6
2024-08-16,11295.7
2024-08-19,11315.35
2024-08-20,11349.7
2024-08-21,11200.9
2024-08-22,11309.4
2024-08-23,11341.8
2024-08-26,11337.1
2024-08-27,11300.35
2024-08-28,11234.8
2024-08-29,11222.0
2024-08-30,11301.9
2024-09-02,11424.9
2024-09-03,11460.8
2024-09-04,11580.45
2024-09-05,11542.65
2024-09-06,11432.85
2024-09-09,11494.35
2024-09-10,11541.05
2024-09-11,11487.45
2024-09-12,11710.25
2024-09-13,11717.95
2024-09-16,11642.65
2024-09-17,11645.65
2024-09-18,11630.9
2024-09-19,11627.5
2024-09-20,11798.3
2024-09-23,11962.05
2024-09-24,11761.65
2024-09-25,11816.3
2024-09-26,12065.0
2024-09-27,11952.3
2024-09-30,11802.0
2024-10-01,11837.15
2024-10-03,11724.8
2024-10-04,11450.25
2024-10-07,11230.35
2024-10-08,11389.8
2024-10-09,11350.15
2024-10-10,11430.05
2024-10-11,11421.3
2024-10-14,11300.3
2024-10-15,11416.9
2024-10-16,11322.3
2024-10-17,11017.3
2024-10-18,11069.3
2024-10-21,10869.3
2024-10-22,10825.15
2024-10-23,10753.05
2024-10-24,11043.6
2024-10-25,10995.2
2024-10-28,11092.6
2024-10-29,11112.1
2024-10-30,11205.1
2024-10-31,11065.65
2024-11-01,11145.8
2024-11-04,11001.85
2024-11-05,11176.35
2024-11-06,11274.4
2024-11-07,11050.8
2024-11-08,11043.35
2024-11-11,10970.45
2024-11-12,10892.0
2024-11-13,10782.2
2024-11-14,10728.5
2024-11-18,10630.9
2024-11-19,10769.55
2024-11-21,10954.85
2024-11-22,11375.3
2024-11-25,11457.45
2024-11-26,11121.05
2024-11-27,11139.9
2024-11-28,10997.8
2024-11-29,11202.15
2024-12-02,11648.55
2024-12-03,11852.35
2024-12-04,11766.8
2024-12-05,11932.8
2024-12-06,11848.5
2024-12-09,11814.8
2024-12-10,11745.8
2024-12-11,11898.5
2024-12-12,11856.95
2024-12-13,12083.9
2024-12-16,11942.5
2024-12-17,11774.95
2024-12-18,11763.95
2024-12-19,11670.8
2024-12-20,11422.8
2024-12-23,11472.6
2024-12-24,11390.35
2024-12-26,11460.65
2024-12-27,11406.55
2024-12-30,11288.35
2024-12-31,11426.35
2025-01-01,11447.0
2025-01-02,11797.7
2025-01-03,11786.0
2025-01-06,11503.6
2025-01-07,11618.55
2025-01-08,11403.55
2025-01-09,11259.8
2025-01-10,10865.2
2025-01-13,10615.15
2025-01-14,10483.75
2025-01-15,10521.65
2025-01-16,10636.2
2025-01-17,10580.0
2025-01-20,10624.45
2025-01-21,10667.8
2025-01-22,10693.75
2025-01-23,11420.9
2025-01-24,11285.85
2025-01-27,11239.5
2025-01-28,11296.35
2025-01-29,11544.85
2025-01-30,11479.4
2025-01-31,11487.45
2025-02-01,11259.15
2025-02-03,11174.65
2025-02-04,11519.15
2025-02-05,11585.7
2025-02-06,11477.35
2025-02-07,11640.6
2025-02-10,11532.3
2025-02-11,11300.2
2025-02-12,11478.5
2025-02-13,11546.45
2025-02-14,11263.85
2025-02-17,11490.1
2025-02-18,11308.9
2025-02-19,11291.55
2025-02-20,11287.6
2025-02-21,11157.25
2025-02-24,11042.65
2025-02-25,10964.15
2025-02-27,10447.65
2025-02-28,10128.45
2025-03-03,10340.8
2025-03-04,10370.1
2025-03-05,10464.2
2025-03-06,10493.5
2025-03-07,10582.4
2025-03-10,10520.1
2025-03-11,10439.25
2025-03-12,10520.4
2025-03-13,10452.1
2025-03-17,10547.1
2025-03-18,10698.1
2025-03-19,10933.25
2025-03-20,10948.15
2025-03-21,10976.75
2025-03-24,11051.2
2025-03-25,11421.2
2025-03-26,11402.1
2025-03-27,11599.6
2025-03-28,11509.55
2025-04-01,11378.65
2025-04-02,11250.95
2025-04-03,11606.6
2025-04-04,11498.65
2025-04-07,11191.6
2025-04-08,11270.45
2025-04-09,11397.05
2025-04-11,11502.65
2025-04-15,11719.0
2025-04-16,11728.0
2025-04-17,11901.0
2025-04-21,11934.0
2025-04-22,11959.0
2025-04-23,11949.0
2025-04-24,12159.0
2025-04-25,12237.0
2025-04-28,12114.0
2025-04-29,11869.0
2025-04-30,11641.0
2025-05-02,11644.0
2025-05-05,11670.0
2025-05-06,11693.0
2025-05-07,11658.0
2025-05-08,11631.0
2025-05-09,11364.0
2025-05-12,11736.0
2025-05-13,11661.0
2025-05-14,11672.0
2025-05-15,11894.0
2025-05-16,11905.0
2025-05-19,11929.0
2025-05-20,11697.0
2025-05-21,11666.0
2025-05-22,11680.0
2025-05-23,11746.0
2025-05-26,11689.0
2025-05-27,11421.0
2025-05-28,11238.0
2025-05-29,11269.0
2025-05-30,11210.0
2025-06-02,11195.0
2025-06-03,11035.0
2025-06-04,11033.0
2025-06-05,11159.0
2025-06-06,11253.0
