Date,50 DMA
2024-06-06,484.16
2024-06-07,485.48
2024-06-10,487.18
2024-06-11,488.93
2024-06-12,490.45
2024-06-13,492.19
2024-06-14,493.65
2024-06-18,495.21
2024-06-19,496.75
2024-06-20,498.68
2024-06-21,500.41
2024-06-24,502.31
2024-06-25,504.09
2024-06-26,505.78
2024-06-27,507.31
2024-06-28,508.89
2024-07-01,510.5
2024-07-02,511.8
2024-07-03,513.25
2024-07-04,514.58
2024-07-05,515.95
2024-07-08,517.06
2024-07-09,517.99
2024-07-10,518.74
2024-07-11,519.38
2024-07-12,520.21
2024-07-15,521.07
2024-07-16,521.6
2024-07-18,522.16
2024-07-19,522.09
2024-07-22,522.14
2024-07-23,521.99
2024-07-24,521.72
2024-07-25,521.18
2024-07-26,521.21
2024-07-29,521.58
2024-07-30,522.37
2024-07-31,523.41
2024-08-01,523.96
2024-08-02,523.64
2024-08-05,522.98
2024-08-06,522.54
2024-08-07,522.61
2024-08-08,522.73
2024-08-09,523.09
2024-08-12,523.83
2024-08-13,524.06
2024-08-14,523.93
2024-08-16,524.2
2024-08-19,524.73
2024-08-20,525.45
2024-08-21,526.22
2024-08-22,527.37
2024-08-23,528.27
2024-08-26,529.28
2024-08-27,530.45
2024-08-28,531.39
2024-08-29,532.29
2024-08-30,533.92
2024-09-02,535.54
2024-09-03,537.19
2024-09-04,538.99
2024-09-05,541.13
2024-09-06,542.84
2024-09-09,544.29
2024-09-10,546.24
2024-09-11,547.8
2024-09-12,549.45
2024-09-13,550.9
2024-09-16,552.39
2024-09-17,553.7
2024-09-18,554.75
2024-09-19,555.37
2024-09-20,555.67
2024-09-23,556.18
2024-09-24,557.08
2024-09-25,557.79
2024-09-26,558.53
2024-09-27,559.59
2024-09-30,560.71
2024-10-01,562.09
2024-10-03,562.83
2024-10-04,563.3
2024-10-07,563.04
2024-10-08,562.66
2024-10-09,562.32
2024-10-10,562.25
2024-10-11,562.13
2024-10-14,561.86
2024-10-15,561.42
2024-10-16,560.8
2024-10-17,559.64
2024-10-18,558.58
2024-10-21,557.19
2024-10-22,555.29
2024-10-23,553.52
2024-10-24,551.94
2024-10-25,549.93
2024-10-28,548.37
2024-10-29,546.98
2024-10-30,546.07
2024-10-31,545.49
2024-11-01,545.1
2024-11-04,544.51
2024-11-05,544.19
2024-11-06,544.19
2024-11-07,544.18
2024-11-08,543.82
2024-11-11,541.87
2024-11-12,540.47
2024-11-13,538.67
2024-11-14,537.32
2024-11-18,536.45
2024-11-19,535.98
2024-11-21,535.87
2024-11-22,536.16
2024-11-25,536.52
2024-11-26,537.12
2024-11-27,537.55
2024-11-28,537.92
2024-11-29,538.2
2024-12-02,538.86
2024-12-03,539.81
2024-12-04,540.91
2024-12-05,541.59
2024-12-06,542.42
2024-12-09,542.92
2024-12-10,543.2
2024-12-11,543.54
2024-12-12,543.7
2024-12-13,543.95
2024-12-16,544.11
2024-12-17,543.89
2024-12-18,543.43
2024-12-19,542.45
2024-12-20,540.96
2024-12-23,539.66
2024-12-24,538.28
2024-12-26,536.76
2024-12-27,535.4
2024-12-30,534.04
2024-12-31,532.75
2025-01-01,531.48
2025-01-02,530.62
2025-01-03,530.58
2025-01-06,530.21
2025-01-07,530.77
2025-01-08,531.11
2025-01-09,531.68
2025-01-10,532.35
2025-01-13,532.4
2025-01-14,532.77
2025-01-15,533.33
2025-01-16,533.83
2025-01-17,534.54
2025-01-20,535.25
2025-01-21,535.61
2025-01-22,535.88
2025-01-23,536.75
2025-01-24,537.34
2025-01-27,537.54
2025-01-28,537.58
2025-01-29,538.19
2025-01-30,539.32
2025-01-31,541.85
2025-02-01,544.28
2025-02-03,547.66
2025-02-04,551.16
2025-02-05,554.85
2025-02-06,558.38
2025-02-07,561.63
2025-02-10,564.51
2025-02-11,566.32
2025-02-12,568.44
2025-02-13,570.85
2025-02-14,572.71
2025-02-17,575.04
2025-02-18,577.23
2025-02-19,580.09
2025-02-20,582.72
2025-02-21,585.21
2025-02-24,587.57
2025-02-25,589.92
2025-02-27,592.02
2025-02-28,593.63
2025-03-03,594.53
2025-03-04,595.27
2025-03-05,596.55
2025-03-06,597.66
2025-03-07,598.92
2025-03-10,599.57
2025-03-11,600.17
2025-03-12,600.48
2025-03-13,600.52
2025-03-17,601.53
2025-03-18,602.85
2025-03-19,604.55
2025-03-20,606.21
2025-03-21,608.27
2025-03-24,610.24
2025-03-25,611.92
2025-03-26,613.51
2025-03-27,615.19
2025-03-28,616.01
2025-04-01,616.75
2025-04-02,618.23
2025-04-03,619.52
2025-04-04,620.23
2025-04-07,620.01
2025-04-08,619.79
2025-04-09,619.57
2025-04-11,620.33
2025-04-15,621.81
2025-04-16,623.29
2025-04-17,624.58
2025-04-21,626.41
2025-04-22,628.22
2025-04-23,630.25
2025-04-24,632.37
2025-04-25,633.52
2025-04-28,635.28
2025-04-29,636.62
2025-04-30,637.93
2025-05-02,639.61
2025-05-05,641.45
2025-05-06,642.92
2025-05-07,644.69
2025-05-08,645.15
2025-05-09,646.32
2025-05-12,647.51
2025-05-13,647.33
2025-05-14,646.92
2025-05-15,646.83
2025-05-16,646.73
2025-05-19,646.68
2025-05-20,645.98
2025-05-21,645.68
2025-05-22,645.14
2025-05-23,644.57
2025-05-26,644.07
2025-05-27,643.54
2025-05-28,643.04
2025-05-29,642.56
2025-05-30,641.99
2025-06-02,641.77
2025-06-03,641.52
2025-06-04,641.56
2025-06-05,641.77
2025-06-06,641.81
