displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,9537.00,,,2025,Annual
Short Term Investments ,ShortTermInvestments,1066.00,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,10603.00,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,15505.00,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,15871.00,,,2025,Annual
Total Inventory ,TotalInventory,10316.00,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,2871.00,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,39661.00,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,10046.00,,,2025,Annual
Goodwill Net ,GoodwillNet,20675.00,,,2025,Annual
Intangibles Net ,IntangiblesNet,10909.00,,,2025,Annual
Long Term Investments ,LongTermInvestments,2224.00,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,951.00,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,3536.00,,,2025,Annual
Total Assets ,TotalAssets,88002.00,,,2025,Annual
Accounts Payable ,AccountsPayable,10867.00,,,2025,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,1194.00,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,4649.00,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,11859.00,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,28569.00,,,2025,Annual
Long Term Debt ,LongTermDebt,18263.00,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,993.00,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,19256.00,,,2025,Annual
Total Debt ,TotalDebt,25099.00,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,1990.00,,,2025,Annual
Minority Interest ,MinorityInterest,5627.00,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,361.00,,,2025,Annual
Total Liabilities ,TotalLiabilities,55803.00,,,2025,Annual
Common Stock Total ,CommonStockTotal,159.00,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),29054.00,,,2025,Annual
Other Equity Total ,OtherEquityTotal,2986.00,,,2025,Annual
Total Equity ,TotalEquity,32199.00,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,88002.00,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,84.44,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,7.28,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
