displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,4966.00,,,2022,Annual
Depreciation/ Depletion ,Depreciation/Depletion,2359.00,,,2022,Annual
Non- Cash Items ,Non-CashItems,1942.00,,,2022,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-2771,,,2022,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,6496.00,,,2022,Annual
Capital Expenditures ,CapitalExpenditures,-2688,,,2022,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-1131,,,2022,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-3819,,,2022,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-2185,,,2022,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-764,,,2022,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,1028.00,,,2022,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-1921,,,2022,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,244.00,,,2022,Annual
Net Changein Cash ,NetChangeinCash,1000.00,,,2022,Annual
Cash Interest Paid ,CashInterestPaid,1941.00,,,2022,Annual
Cash Taxes Paid ,CashTaxesPaid,1004.00,,,2022,Annual
period Length ,periodLength,12,,,2022,Annual
period Type ,periodType,Months,,,2022,Annual
