displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,38694.00,,,2021,Annual
Total Revenue ,TotalRevenue,38694.00,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,19433.00,,,2021,Annual
Gross Profit ,GrossProfit,19261.00,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,10176.00,,,2021,Annual
Research Development ,ResearchDevelopment,91.00,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,2173.00,,,2021,Annual
Unusual Expense( Income) ,UnusualExpense(Income),244.00,,,2021,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,427.00,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,32544.00,,,2021,Annual
Operating Income ,OperatingIncome,6150.00,,,2021,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-1413,,,2021,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,8.00,,,2021,Annual
Other Net ,OtherNet,-564,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,4181.00,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,686.00,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,3495.00,,,2021,Annual
Minority Interest ,MinorityInterest,-624,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,2871.00,,,2021,Annual
Net Income ,NetIncome,2871.00,,,2021,Annual
Total Adjustmentsto Net Income ,TotalAdjustmentstoNetIncome,-900,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,2781.00,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,2781.00,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,2781.00,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,79.65,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,34.91,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,9.59,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,37.39,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
