displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,154.30
"Revenue growth rate, 5 year",revenueGrowthRate5Year,5.46
"EPS growth rate, 5 year",ePSGrowthRate5Year,-13.78
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,10.62
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,-14.48
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,-37.74
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),4.23
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,5.70
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,2.73
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,-3.06
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,8.21
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,0.29
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,9.51
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),964.88
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,-22.00
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,2.65
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,-3.10
