displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,8290.00
Revenue - trailing 12 month,revenueTrailing12Month),466370.00
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,8970.00
EBITD - trailing 12 month,eBITDTrailing12Month,81200.00
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,8970.00
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,13.96
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,466370.00
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,13005.71
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,8290.00
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,12370.00
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,81200.00
