displayName,key,value
Operating margin - trailing 12 month,operatingMarginTrailing12Month,10.64
Gross Margin - 5 year average,grossMargin5YearAverage,48.11
Operating margin - 1st historical fiscal year,operatingMargin1stHistoricalFiscalYear),10.64
Operating Margin - 5 year average,operatingMargin5YearAverage,12.94
Net Profit Margin % - 1st historical fiscal year,netProfitMarginPercent1stHistoricalFiscalYear,1.76
Gross Margin - 1st historical fiscal year,grossMargin1stHistoricalFiscalYear,48.06
Net Profit Margin % - trailing 12 month,netProfitMarginPercentTrailing12Month,1.76
Net Profit Margin - 5 year average,netProfitMargin5YearAverage,4.95
Pretax Margin - 5 year average,pretaxMargin5YearAverage,5.71
"Free Operating Cash Flow/Revenue, TTM",freeOperatingCashFlowPerRevenueTTM,17.97
Pretax margin - 1st historical fiscal year,pretaxMargin1stHistoricalFiscalYear,1.78
Pretax margin - trailing 12 month,pretaxMarginTrailing12Month,1.78
"Free Operating Cash Flow/Revenue, 5 Year Average",freeOperatingCashFlowPerRevenue5YearAverage,8.66
Gross Margin - trailing 12 month,grossMarginTrailing12Month,48.06
