tickerId,companyName,remarks,boardMeetDate,purpose
S0003105,Wipro,,2025-04-16,Audited Results
S0003105,Wipro,,2025-01-17,Quarterly Results & Interim Dividend
S0003105,Wipro,,2024-10-17,Quarterly Results & Bonus issue
S0003105,Wipro,,2024-07-19,Quarterly Results
S0003105,Wipro,,2024-04-19,Audited Results
S0003105,Wipro,,2024-01-12,Quarterly Results & Interim Dividend
S0003105,Wipro,,2023-10-18,Quarterly Results
S0003105,Wipro,,2023-07-13,Quarterly Results
S0003105,Wipro,,2023-04-27,Audited Results & Buy Back
S0003105,Wipro,,2023-01-13,Quarterly Results & Interim Dividend
S0003105,Wipro,,2022-10-12,Quarterly Results
S0003105,Wipro,,2022-07-20,Quarterly Results
S0003105,Wipro,,2022-04-29,Audited Results
S0003105,Wipro,,2022-03-25,Interim Dividend
S0003105,Wipro,,2022-01-12,Quarterly Results & Interim Dividend
S0003105,Wipro,,2021-10-13,Quarterly Results
S0003105,Wipro,,2021-07-15,Quarterly Results
S0003105,Wipro,,2021-04-15,Quarterly Results & Final Dividend
S0003105,Wipro,,2021-01-13,Quarterly Results & Interim Dividend
