displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,9771.30,,,2020,Annual
Depreciation/ Depletion ,Depreciation/Depletion,2086.20,,,2020,Annual
Non- Cash Items ,Non-CashItems,1230.80,,,2020,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-3024,,,2020,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,10064.30,,,2020,Annual
Capital Expenditures ,CapitalExpenditures,-2349.70,,,2020,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,5750.90,,,2020,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,3401.20,,,2020,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-601.60,,,2020,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-686.30,,,2020,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-10529.70,,,2020,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-3282.20,,,2020,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-15099.80,,,2020,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,192.20,,,2020,Annual
Net Changein Cash ,NetChangeinCash,-1442.10,,,2020,Annual
Cash Interest Paid ,CashInterestPaid,460.10,,,2020,Annual
Cash Taxes Paid ,CashTaxesPaid,638.40,,,2020,Annual
period Length ,periodLength,12,,,2020,Annual
period Type ,periodType,Months,,,2020,Annual
