displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,89760.30,,,2024,Annual
Total Revenue ,TotalRevenue,89760.30,,,2024,Annual
Costof Revenue Total ,CostofRevenueTotal,63149.70,,,2024,Annual
Gross Profit ,GrossProfit,26610.60,,,2024,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,11836.60,,,2024,Annual
Depreciation/ Amortization ,Depreciation/Amortization,1005.50,,,2024,Annual
Interest Exp( Inc) Net- Operating Total ,InterestExp(Inc)Net-OperatingTotal,-34,,,2024,Annual
Unusual Expense( Income) ,UnusualExpense(Income),170.10,,,2024,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,22.50,,,2024,Annual
Total Operating Expense ,TotalOperatingExpense,76150.40,,,2024,Annual
Operating Income ,OperatingIncome,13609.90,,,2024,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,1111.10,,,2024,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,14721.00,,,2024,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,3608.90,,,2024,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,11112.10,,,2024,Annual
Minority Interest ,MinorityInterest,-66.90,,,2024,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,11045.20,,,2024,Annual
Net Income ,NetIncome,11045.20,,,2024,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,11045.20,,,2024,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,11045.20,,,2024,Annual
Diluted Net Income ,DilutedNetIncome,11045.20,,,2024,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,1061.14,,,2024,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,10.41,,,2024,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.50,,,2024,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,11.16,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
