displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,20.84
"Revenue growth rate, 5 year",revenueGrowthRate5Year,7.86
"EPS growth rate, 5 year",ePSGrowthRate5Year,8.54
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,1.33
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,25.99
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,3.96
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),10.24
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,5.52
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,3.02
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,8.04
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,-8.91
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,-0.75
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,4.05
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,10.08
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),25.61
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,-1.51
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,8.04
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,14.58
