displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,174957.00
Revenue - trailing 12 month,revenueTrailing12Month),890884.00
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,131354.00
EBITD - trailing 12 month,eBITDTrailing12Month,181422.00
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,131354.00
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,12.65
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,890884.00
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,132684.40
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,174957.00
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,176718.00
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,181424.00
