displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,17.04
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,574695.60
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,3840017.00
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,13.94
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,10.84
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,4.54
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,13.94
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,10.84
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,171.83
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),171.83
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,3873409.00
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,11.11
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,569741.40
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,16.65
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,4.54
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,0.73
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,0.73
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),16.65
Return on investment - 5 year average,returnOnInvestment5YearAverage,14.79
