displayName,key,value
Dividend Per Share - 5 year average,dividendperShare5YearAverage,2.10
Cash Flow per share  - trailing 12 month,cashFlowPerShareTrailing12Month,15.31
Free Cash Flow per share - trailing 12 month,freeCashFlowpersharetrailing12month,14.75
Cash Flow per share - most recent fiscal year,cashflowPerShareMostRecentFiscalYear,15.31
Book value (tangible) per share - most recent quarter,bookValueTangibleperSharemostRecentQuarter,45.49
Cash per share - most recent quarter,cashPerShareMostRecentQuarter,50.94
EPS including extraordinary items - trailing 12 month,ePSIncludingExtraOrdinaryItemsTrailing12Month,12.52
EPS including extraordinary items - most recent fiscal year,ePSIncludingExtraordinaryItemsMostRecentFiscalYear,12.52
EBITD per share - trailing 12 month,eBITDPerShareTrailing12Month,17.30
Revenue/share - trailing 12 month,rRevenuePerShareTrailing12onth,84.95
EPS excluding extraordinary items - trailing 12 month,eEPSExcludingExtraordinaryIitemsTrailing12onth,12.52
EPS Basic excluding extraordinary items - most recent fiscal year,ePSBasicExcludingExtraordinaryItemsMostRecentFiscalYear,12.56
EPS Basic excluding extraordinary items - trailing 12 month,ePSBasicExcludingExtraordinaryItemsItrailing12Month,12.56
Book value per share - most recent fiscal year,bookValuePerShare MostRecentFiscalYear,79.19
Book value per share - most recent quarter,bookValuePerShareMostRecentQuarter,79.19
Dividend per share - most recent fiscal year,dividendPerShare MostRecentFiscalYear,6.00
Revenue/share - most recent fiscal year,revenuePerShareMostRecentFiscalYear,84.94
EPS Normalized - most recent fiscal year,ePSNormalizedMostRecentFiscalYear,12.65
Book value (tangible) per share - most recent fiscal year,bookValuePerShareMostRecentFiscalYear,45.49
Dividends per share - trailing 12 month,dividendsPerShareTrailing12Month,6.00
EPS excluding extraordinary items - most recent fiscal year,eEPSExcludingExtraordinaryItemsMmostRecentFiscal yea,12.52
Cash per share - most recent fiscal year,cashPerShareMostRecentFiscalYear,50.94
