Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,12,27,11,12,2,12,42
ThirtyDaysAgo,INR,12,27,11,12,2,12,42
SixtyDaysAgo,INR,13,13,12,13,0,12,39
NinetyDaysAgo,INR,13,13,12,13,0,13,40
OneWeekAgo,INR,13,29,11,13,2,13,42
ThirtyDaysAgo,INR,13,29,11,13,2,13,42
SixtyDaysAgo,INR,14,15,12,14,0,13,37
NinetyDaysAgo,INR,14,15,13,14,0,14,37
OneWeekAgo,INR,14,15,12,14,0,14,17
ThirtyDaysAgo,INR,14,15,12,14,0,14,17
SixtyDaysAgo,INR,15,16,14,16,0,15,3
NinetyDaysAgo,INR,16,16,15,16,0,15,3
