Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,2960.0,2961.75,2882.25,2904.8,1689408,4929738361.25,2918.03,161111
07-Jun-2024,2904.8,2943.1,2888.85,2927.7,1600180,4679533601.75,2924.38,127721
10-Jun-2024,2928.0,2951.9,2915.0,2937.55,876867,2573629171.05,2935.03,64133
11-Jun-2024,2915.0,2920.35,2895.0,2902.45,855430,2488140426.2,2908.64,63578
12-Jun-2024,2909.0,2918.0,2865.65,2905.8,1701770,4920597117.95,2891.46,108150
13-Jun-2024,2929.0,2929.0,2905.0,2910.0,726380,2115645015.1,2912.59,57428
14-Jun-2024,2910.0,2931.35,2905.1,2921.6,982815,2871043073.05,2921.24,62392
18-Jun-2024,2921.6,2928.0,2905.0,2918.5,741098,2161437869.1,2916.53,57204
19-Jun-2024,2918.0,2920.0,2882.65,2891.7,1018294,2949698632.65,2896.71,61344
20-Jun-2024,2885.0,2924.5,2872.4,2915.5,1129752,3283019639.35,2905.96,79992
21-Jun-2024,2925.0,2928.0,2880.1,2890.85,1722379,4985713403.0,2894.67,116694
24-Jun-2024,2883.0,2899.95,2871.4,2896.05,892125,2575019859.65,2886.39,63587
25-Jun-2024,2876.0,2894.95,2856.0,2858.45,1217792,3499661269.55,2873.78,64339
26-Jun-2024,2860.2,2873.85,2844.05,2863.35,960622,2749722792.75,2862.44,57113
27-Jun-2024,2860.75,2903.0,2845.0,2880.85,1628022,4679825283.05,2874.55,140448
28-Jun-2024,2865.0,2932.0,2862.2,2917.05,1206712,3517556522.7,2914.99,92017
01-Jul-2024,2889.3,2939.0,2888.0,2927.8,1104110,3224747087.05,2920.68,68851
02-Jul-2024,2927.8,2936.0,2912.0,2925.6,1064295,3111815663.05,2923.83,60594
03-Jul-2024,2929.7,2948.95,2916.0,2925.55,925189,2714682877.6,2934.19,52612
04-Jul-2024,2940.0,2968.45,2923.0,2934.9,968666,2852878532.3,2945.16,64641
05-Jul-2024,2937.15,2946.9,2913.1,2935.9,817429,2395195710.15,2930.16,51977
08-Jul-2024,2935.9,2935.9,2890.7,2898.15,828260,2403674177.6,2902.08,57283
09-Jul-2024,2908.95,2913.2,2890.0,2905.0,685431,1990848226.25,2904.52,45585
10-Jul-2024,2900.05,3014.5,2894.35,2996.45,2299950,6831561456.5,2970.31,128651
11-Jul-2024,2999.0,3030.0,2973.0,3022.05,1968980,5927369218.8,3010.38,141086
12-Jul-2024,3025.0,3052.0,2970.9,2999.15,1879930,5656716521.1,3009.0,119771
15-Jul-2024,2999.0,2999.0,2932.55,2956.5,2425341,7175683580.4,2958.63,105659
