Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,5465.0,5514.1,5311.45,5440.45,629293,3409109188.85,5417.36,103315
07-Jun-2024,5431.65,5470.0,5395.0,5463.55,226777,1234851237.25,5445.22,31546
10-Jun-2024,5465.0,5560.75,5406.1,5488.4,306665,1689439752.3,5509.07,41018
11-Jun-2024,5500.0,5606.75,5500.0,5517.75,476899,2653883246.8,5564.87,35434
12-Jun-2024,5550.55,5568.0,5431.0,5439.3,279376,1526941627.55,5465.54,34599
13-Jun-2024,5439.6,5449.95,5341.7,5379.45,434594,2344056915.15,5393.67,40541
14-Jun-2024,5397.55,5450.0,5375.6,5393.65,149569,807921138.9,5401.66,17791
18-Jun-2024,5419.8,5435.0,5375.3,5395.85,155277,838217500.15,5398.21,21070
19-Jun-2024,5416.0,5422.85,5350.0,5360.65,135179,727975001.85,5385.27,20003
20-Jun-2024,5360.65,5400.0,5319.0,5378.45,296418,1591265604.35,5368.32,56855
21-Jun-2024,5369.1,5389.85,5317.5,5330.3,244120,1306147184.0,5350.43,30736
24-Jun-2024,5315.0,5330.0,5250.0,5297.75,463385,2454778534.75,5297.49,31943
25-Jun-2024,5297.8,5370.0,5289.2,5352.05,160890,859670183.45,5343.22,27442
26-Jun-2024,5352.05,5434.55,5319.05,5421.7,221391,1194699787.8,5396.33,32772
27-Jun-2024,5388.8,5450.0,5382.15,5430.3,357573,1938301699.95,5420.72,72897
28-Jun-2024,5435.0,5490.0,5416.25,5475.55,215576,1178504262.65,5466.77,32415
01-Jul-2024,5475.05,5489.15,5431.05,5476.5,223560,1220965156.25,5461.47,30277
02-Jul-2024,5500.0,5500.0,5384.3,5401.65,163333,887309475.8,5432.52,26895
03-Jul-2024,5421.75,5498.0,5389.8,5449.1,211361,1154275338.75,5461.16,30981
04-Jul-2024,5454.95,5487.35,5397.55,5426.25,138170,750910763.1,5434.69,26853
05-Jul-2024,5445.95,5554.5,5433.95,5546.8,172330,950397331.25,5514.98,29191
08-Jul-2024,5555.0,5615.95,5534.05,5568.55,171210,953974916.45,5571.96,25758
09-Jul-2024,5700.0,5705.0,5583.05,5668.85,389812,2201109876.45,5646.59,48835
10-Jul-2024,5670.05,5800.0,5670.05,5755.55,526095,3026418187.7,5752.61,59079
11-Jul-2024,5800.0,5805.0,5720.0,5761.3,372798,2145858393.5,5756.09,50037
12-Jul-2024,5780.0,5805.0,5713.2,5787.05,222315,1280022589.65,5757.7,23642
15-Jul-2024,5807.0,5847.75,5788.0,5809.7,135374,787851469.9,5819.81,21978
16-Jul-2024,5812.0,5880.0,5770.1,5862.35,162459,950647680.55,5851.62,20493
