Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,1500.0,1501.0,1464.0,1477.0,1605122,2367408211.6,1474.91,138629
07-Jun-2024,1484.0,1503.4,1479.3,1497.25,1591055,2374847137.35,1492.62,75663
10-Jun-2024,1506.9,1540.85,1502.0,1534.25,2751606,4208068588.5,1529.31,119850
11-Jun-2024,1545.0,1546.45,1527.0,1530.25,1699446,2612735323.55,1537.4,68671
12-Jun-2024,1542.45,1549.0,1532.0,1540.95,1578793,2435137533.0,1542.4,63432
13-Jun-2024,1550.0,1551.0,1520.4,1544.55,1525789,2348377937.75,1539.12,76427
14-Jun-2024,1545.0,1567.0,1535.8,1564.75,1845043,2875030566.15,1558.25,68989
18-Jun-2024,1570.0,1576.95,1563.6,1574.8,2068897,3250382871.95,1571.07,78259
19-Jun-2024,1577.4,1582.0,1553.4,1559.8,1881544,2943435975.4,1564.37,77269
20-Jun-2024,1558.0,1559.15,1540.0,1544.85,1705002,2637378136.45,1546.85,75788
21-Jun-2024,1549.9,1562.9,1533.5,1541.55,2613883,4037928881.55,1544.8,79950
24-Jun-2024,1528.0,1528.0,1495.05,1504.4,1283529,1936282870.75,1508.56,54837
25-Jun-2024,1511.6,1517.8,1495.5,1499.7,1199626,1801319517.45,1501.57,48899
26-Jun-2024,1503.7,1507.2,1475.0,1479.1,1930909,2868221252.4,1485.43,78929
27-Jun-2024,1481.0,1486.2,1465.3,1480.9,2792582,4121461483.35,1475.86,135792
28-Jun-2024,1486.3,1492.2,1476.05,1480.8,2087765,3092217802.6,1481.11,62077
01-Jul-2024,1484.95,1493.7,1472.2,1479.1,1313651,1946503282.75,1481.75,58620
02-Jul-2024,1480.0,1492.75,1479.25,1488.65,1191962,1773298124.2,1487.71,51461
03-Jul-2024,1494.0,1500.0,1474.6,1483.75,1061247,1575689997.45,1484.75,52075
04-Jul-2024,1477.75,1488.95,1467.0,1480.75,1498413,2213893200.55,1477.49,64781
05-Jul-2024,1487.0,1516.0,1486.0,1509.9,2188675,3297728859.9,1506.72,102166
08-Jul-2024,1516.0,1524.65,1483.2,1487.05,1524489,2287354157.3,1500.41,70425
09-Jul-2024,1496.9,1515.0,1487.3,1512.05,1791406,2697936380.7,1506.04,106507
10-Jul-2024,1512.1,1517.25,1492.25,1513.2,671042,1010939110.6,1506.52,48314
11-Jul-2024,1517.0,1519.0,1495.0,1506.0,1314312,1976102494.05,1503.53,71176
12-Jul-2024,1506.05,1515.0,1502.4,1512.05,1192685,1801506846.15,1510.46,44679
15-Jul-2024,1516.6,1531.95,1513.25,1517.2,1825510,2781480430.85,1523.67,78582
16-Jul-2024,1517.2,1524.45,1503.1,1510.4,963199,1457379833.65,1513.06,45731
16-Jul-2024,1517.2,1524.45,1503.1,1510.4,963199,1457379833.65,1513.06,45731
18-Jul-2024,1497.0,1513.0,1485.6,1506.65,2169744,3262295217.35,1503.54,88452
19-Jul-2024,1501.6,1506.0,1480.2,1485.5,868261,1293080503.55,1489.28,51046
22-Jul-2024,1475.05,1507.05,1470.65,1490.0,1328847,1984568094.25,1493.45,66243
23-Jul-2024,1490.0,1504.0,1475.15,1497.9,1241630,1852658489.65,1492.12,74701
24-Jul-2024,1495.35,1511.3,1485.0,1503.5,2266300,3404751810.15,1502.34,60576
25-Jul-2024,1498.0,1508.7,1489.8,1500.05,2200932,3304768416.7,1501.53,85347
26-Jul-2024,1504.75,1600.0,1501.0,1575.0,4687416,7283677071.85,1553.88,173606
29-Jul-2024,1588.0,1589.0,1528.8,1553.95,3983153,6166439117.55,1548.13,139458
30-Jul-2024,1554.0,1564.05,1526.0,1528.9,2988651,4589205593.15,1535.54,116552
31-Jul-2024,1530.1,1548.55,1523.55,1544.3,1645138,2532905402.35,1539.63,92240
01-Aug-2024,1545.95,1552.5,1535.55,1546.2,1529481,2360564566.45,1543.38,50656
02-Aug-2024,1529.0,1541.4,1523.7,1528.8,1353707,2073502080.85,1531.72,63586
05-Aug-2024,1472.0,1527.95,1472.0,1515.05,1719770,2597412062.55,1510.33,120866
06-Aug-2024,1513.0,1542.35,1505.7,1531.9,1775016,2719984623.55,1532.37,71099
07-Aug-2024,1532.1,1556.9,1532.1,1553.55,1359682,2102797942.6,1546.54,93083
08-Aug-2024,1545.0,1589.65,1545.0,1569.95,3541556,5573912688.35,1573.86,169880
09-Aug-2024,1574.8,1581.2,1561.5,1574.75,956684,1503603983.55,1571.68,57468
12-Aug-2024,1574.7,1593.0,1571.05,1586.25,1731555,2745723298.0,1585.7,63008
13-Aug-2024,1600.0,1606.7,1580.0,1583.45,2281463,3636852019.5,1594.09,70474
14-Aug-2024,1597.0,1597.0,1555.0,1563.8,896638,1407934640.25,1570.24,54982
16-Aug-2024,1567.0,1580.45,1560.0,1576.1,909870,1432268072.4,1574.15,42286
19-Aug-2024,1578.45,1584.95,1569.7,1575.5,742635,1171750274.65,1577.83,33757
20-Aug-2024,1576.5,1579.0,1558.2,1562.85,1413845,2210351792.1,1563.36,54178
21-Aug-2024,1565.65,1596.15,1561.0,1594.6,1074905,1705489148.7,1586.64,48327
22-Aug-2024,1599.0,1599.0,1576.05,1585.8,906819,1436823138.2,1584.47,47656
23-Aug-2024,1580.05,1585.8,1568.45,1574.55,770573,1213972517.25,1575.42,30482
26-Aug-2024,1570.0,1596.0,1566.55,1593.95,658120,1044584194.3,1587.22,39936
27-Aug-2024,1586.5,1619.8,1586.5,1598.05,1570234,2524773865.05,1607.9,76744
28-Aug-2024,1604.0,1630.0,1595.2,1618.2,1433847,2310843598.7,1611.64,89146
29-Aug-2024,1622.0,1642.3,1609.0,1618.55,2749546,4463368934.45,1623.31,115197
30-Aug-2024,1615.0,1663.7,1615.0,1654.9,3296701,5441098694.65,1650.47,111816
02-Sep-2024,1669.0,1681.6,1642.0,1646.65,1306971,2161338376.75,1653.7,63931
03-Sep-2024,1643.3,1659.85,1643.3,1653.2,1264708,2089769436.2,1652.37,55591
04-Sep-2024,1635.05,1658.0,1630.8,1651.9,1019049,1679877367.2,1648.48,61940
05-Sep-2024,1651.1,1659.95,1623.4,1627.75,1081756,1772473906.8,1638.52,54977
06-Sep-2024,1627.75,1631.95,1608.05,1611.05,913336,1477222913.3,1617.39,51056
09-Sep-2024,1611.05,1636.8,1610.0,1620.15,1003511,1630137175.6,1624.43,53004
10-Sep-2024,1633.0,1644.35,1624.3,1632.0,1248269,2041766841.7,1635.68,69943
11-Sep-2024,1627.1,1652.3,1624.25,1628.35,1243738,2036097219.3,1637.08,74123
12-Sep-2024,1635.0,1660.0,1630.55,1657.25,1728200,2851677420.2,1650.09,102467
13-Sep-2024,1658.9,1669.2,1643.5,1659.7,747149,1238461744.6,1657.58,45814
16-Sep-2024,1661.2,1671.85,1654.15,1659.4,683436,1137276581.75,1664.06,26158
17-Sep-2024,1660.0,1683.0,1656.7,1671.8,958137,1601656080.35,1671.64,54542
18-Sep-2024,1673.0,1673.0,1638.05,1651.6,1084127,1792027042.2,1652.97,50850
19-Sep-2024,1660.0,1668.0,1632.75,1637.7,2048750,3370252632.0,1645.03,85182
20-Sep-2024,1645.9,1652.6,1609.8,1638.65,2504382,4093912902.3,1634.7,122041
23-Sep-2024,1646.85,1664.85,1638.0,1658.15,1129445,1866029758.0,1652.17,53599
24-Sep-2024,1625.0,1659.6,1624.95,1637.55,1476260,2428093987.35,1644.76,78498
25-Sep-2024,1638.0,1649.0,1618.25,1643.2,759761,1240280645.35,1632.46,50563
26-Sep-2024,1643.2,1652.45,1602.3,1621.8,2613098,4236503910.3,1621.26,143054
27-Sep-2024,1630.15,1679.05,1630.0,1672.5,3866952,6415723669.2,1659.12,171020
