Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,470.0,484.4,464.65,472.95,21757857,10333590084.4,474.94,339834
07-Jun-2024,473.0,481.3,467.6,479.15,8317343,3955418120.75,475.56,124317
10-Jun-2024,485.0,488.0,475.5,477.7,10958537,5282821416.95,482.07,133266
11-Jun-2024,482.0,483.5,475.2,476.35,11169021,5350904100.0,479.08,87205
12-Jun-2024,481.0,494.3,479.35,488.7,15412796,7540551834.55,489.24,163845
13-Jun-2024,493.9,493.9,483.5,487.9,7438571,3622524555.25,486.99,105315
14-Jun-2024,487.9,492.4,485.25,486.95,5974636,2915827137.45,488.03,75705
18-Jun-2024,492.0,492.9,485.2,489.05,6946544,3394043640.95,488.59,100108
19-Jun-2024,489.4,491.2,476.5,477.95,8962510,4310874663.65,480.99,126276
20-Jun-2024,481.05,487.4,471.55,483.15,7864157,3791215750.1,482.09,116829
21-Jun-2024,483.15,491.4,479.0,480.2,10340882,5006047738.5,484.1,101821
24-Jun-2024,480.0,480.05,472.0,473.7,11124175,5274019124.25,474.1,133317
25-Jun-2024,475.9,477.95,465.3,469.25,7951999,3736240197.4,469.85,98822
26-Jun-2024,470.25,471.85,465.05,468.75,6655899,3120868783.3,468.89,79921
27-Jun-2024,468.75,469.0,461.5,467.05,14857335,6922886014.3,465.96,173151
28-Jun-2024,470.0,476.0,468.0,473.15,8302706,3928374308.4,473.14,99753
01-Jul-2024,473.35,476.3,471.25,474.8,8579861,4062150632.55,473.45,107749
02-Jul-2024,478.0,485.0,473.35,479.1,14629287,7023954637.7,480.13,129205
03-Jul-2024,481.9,487.65,479.4,484.95,7244652,3503233245.8,483.56,88266
04-Jul-2024,488.75,492.8,485.3,489.55,7796954,3814662720.2,489.25,118065
05-Jul-2024,489.5,493.3,486.9,491.5,5754517,2821180981.9,490.26,79298
08-Jul-2024,492.7,496.0,487.2,493.3,7477292,3682285523.8,492.46,91648
09-Jul-2024,496.95,496.95,491.1,493.8,6444684,3184913293.65,494.19,90214
10-Jul-2024,493.8,494.9,480.55,490.75,5981477,2925763850.65,489.14,93156
11-Jul-2024,492.0,506.0,488.55,500.05,20146927,10108345730.1,501.73,212116
12-Jul-2024,504.0,508.6,495.5,496.2,8198389,4119877695.8,502.52,110734
15-Jul-2024,500.0,503.6,492.55,497.75,7106020,3540112494.8,498.18,95238
16-Jul-2024,498.0,518.4,498.0,512.45,23169665,11872457416.65,512.41,244258
16-Jul-2024,498.0,518.4,498.0,512.45,23169665,11872457416.65,512.41,244258
18-Jul-2024,515.35,515.8,501.25,505.25,12540956,6333993548.3,505.06,176635
19-Jul-2024,505.3,506.4,486.75,488.0,9971704,4907930945.7,492.19,148134
22-Jul-2024,488.0,496.0,483.55,491.2,7281653,3583338680.1,492.11,120414
23-Jul-2024,494.0,495.8,464.55,487.0,11311831,5458647001.55,482.56,176756
24-Jul-2024,486.7,499.4,485.1,493.8,6823248,3377359578.9,494.98,90411
25-Jul-2024,491.0,503.55,484.0,494.0,10281157,5084020259.6,494.5,117007
26-Jul-2024,498.25,511.7,498.25,509.85,20437968,10383809318.05,508.06,137819
29-Jul-2024,514.5,515.7,507.5,512.15,7259754,3720064237.15,512.42,110732
30-Jul-2024,512.15,525.6,509.95,519.35,13197520,6870890927.35,520.62,162990
31-Jul-2024,523.45,525.4,510.5,522.2,11972565,6225881878.8,520.01,132419
01-Aug-2024,535.0,542.25,528.0,540.4,34763894,18660612176.2,536.78,319396
02-Aug-2024,534.0,537.2,522.3,524.5,10985150,5808255324.8,528.74,197654
05-Aug-2024,515.0,515.0,497.55,506.8,11835031,5999646686.45,506.94,192750
06-Aug-2024,508.1,517.2,498.0,499.6,7142269,3622252578.2,507.16,127459
07-Aug-2024,507.7,532.8,507.7,531.5,18293730,9605540113.25,525.07,234497
08-Aug-2024,534.0,535.0,521.25,523.45,13624148,7192780883.8,527.94,139705
09-Aug-2024,530.0,531.35,521.85,529.8,6468264,3409740466.3,527.15,103041
12-Aug-2024,529.0,530.5,523.3,523.95,5238736,2753398152.1,525.58,91095
13-Aug-2024,525.0,529.9,520.0,521.75,5201294,2728428017.05,524.57,103544
14-Aug-2024,522.9,527.9,499.05,504.7,14766889,7509823981.65,508.56,239033
16-Aug-2024,507.7,515.75,502.5,512.3,7313429,3719391264.2,508.57,111417
19-Aug-2024,513.8,523.45,513.15,522.0,10737456,5570311099.0,518.77,91151
20-Aug-2024,524.35,528.45,521.05,524.6,8191127,4303153158.4,525.34,101773
21-Aug-2024,526.5,535.25,524.4,532.2,9067794,4810561387.75,530.51,107216
22-Aug-2024,534.0,535.45,526.8,528.85,8531700,4520279090.35,529.82,146570
23-Aug-2024,528.95,541.15,528.85,538.85,12566904,6759266470.45,537.86,125402
26-Aug-2024,542.0,543.55,534.7,538.1,7193307,3880558401.65,539.47,102272
27-Aug-2024,539.1,541.7,530.0,531.4,7865530,4204798158.9,534.59,93940
28-Aug-2024,533.9,535.55,525.45,526.35,6066259,3212584032.9,529.58,141503
29-Aug-2024,526.35,530.0,516.1,527.55,9147836,4788018506.7,523.4,183043
30-Aug-2024,530.0,537.0,522.0,524.95,30921282,16268014874.05,526.11,165710
02-Sep-2024,527.0,529.0,517.65,520.85,6370038,3325006191.25,521.98,148142
03-Sep-2024,521.0,523.6,518.25,519.6,5526155,2875403343.95,520.33,104008
04-Sep-2024,516.85,516.85,500.55,503.65,16783593,8473823360.75,504.89,225840
05-Sep-2024,507.5,507.5,495.15,497.0,10830621,5416910645.25,500.15,182156
06-Sep-2024,499.0,499.0,481.05,488.55,13110103,6392445293.8,487.6,248527
09-Sep-2024,488.0,488.5,478.05,484.45,10189742,4913440477.35,482.19,151327
10-Sep-2024,487.3,492.0,481.8,491.1,9809547,4782599474.35,487.55,144675
11-Sep-2024,492.85,493.55,481.95,483.95,8134497,3968744242.3,487.89,107331
12-Sep-2024,487.0,497.25,482.25,495.65,12058489,5898536819.95,489.16,162131
13-Sep-2024,497.0,497.85,489.5,490.25,8093877,3984387255.75,492.27,101448
16-Sep-2024,492.5,494.9,487.35,493.25,5244657,2579294453.85,491.79,73143
17-Sep-2024,493.25,494.8,487.65,488.5,5063902,2481441144.8,490.03,114377
18-Sep-2024,489.8,493.6,486.15,487.1,6527832,3198933196.05,490.05,82564
19-Sep-2024,489.0,491.6,476.25,477.95,10014450,4823527661.85,481.66,161932
20-Sep-2024,480.95,498.0,480.3,490.95,12982128,6383905675.3,491.75,156120
23-Sep-2024,493.5,502.5,490.5,500.6,6123879,3047187710.85,497.59,112453
24-Sep-2024,505.0,506.65,501.55,504.3,7306001,3682722236.8,504.07,111666
25-Sep-2024,506.5,507.0,502.0,505.3,5059851,2552300535.35,504.42,116427
26-Sep-2024,506.0,507.45,500.05,506.55,6877039,3466763731.5,504.11,135445
27-Sep-2024,506.55,517.85,504.9,516.1,15443031,7943049169.25,514.35,155950
30-Sep-2024,513.0,513.45,502.5,510.15,8881502,4519650701.1,508.88,136809
01-Oct-2024,512.0,516.0,506.15,508.5,4743517,2425344287.0,511.3,105599
03-Oct-2024,499.5,509.9,499.5,502.35,11285134,5698545221.6,504.96,245855
04-Oct-2024,499.6,504.65,494.05,497.2,7170285,3582162996.4,499.58,132803
04-Oct-2024,499.6,504.65,494.05,497.2,7170285,3582162996.4,499.58,132803
07-Oct-2024,498.1,500.55,475.35,480.45,8940891,4311637355.35,482.24,185809
08-Oct-2024,480.8,492.75,476.45,491.85,6049075,2940918782.65,486.18,125017
09-Oct-2024,492.0,496.0,485.65,486.95,6874313,3371970845.2,490.52,107575
10-Oct-2024,488.7,493.95,486.05,488.1,4700891,2300821184.8,489.44,100047
11-Oct-2024,487.5,493.9,487.45,492.95,4364566,2144626243.05,491.37,60325
14-Oct-2024,494.95,502.45,492.95,498.3,5369297,2679803461.9,499.1,80022
15-Oct-2024,498.3,499.35,490.05,494.45,4279311,2118676970.15,495.1,80892
16-Oct-2024,495.0,499.4,492.9,495.75,8000451,3966915915.95,495.84,91258
17-Oct-2024,495.75,497.25,487.2,489.9,4334990,2128673548.3,491.04,70633
18-Oct-2024,488.0,493.75,483.35,492.2,4573163,2243114007.15,490.5,77393
21-Oct-2024,492.0,494.75,482.35,485.4,4737527,2305358791.5,486.62,105092
22-Oct-2024,485.0,487.5,467.2,468.35,8671135,4111028432.0,474.1,135658
23-Oct-2024,468.35,476.05,458.95,474.1,10686743,5016686872.95,469.43,154438
24-Oct-2024,474.1,483.8,473.05,477.25,5045880,2414326182.45,478.47,85964
25-Oct-2024,478.1,479.05,459.0,461.1,10330954,4784467648.3,463.12,157653
28-Oct-2024,452.0,458.0,435.25,441.65,21378247,9494615937.0,444.13,291375
29-Oct-2024,444.2,446.6,438.8,445.55,7680865,3401457930.5,442.85,97163
30-Oct-2024,448.0,455.8,445.0,449.15,7818123,3523433424.95,450.68,93936
31-Oct-2024,452.0,454.5,443.2,452.05,8475238,3813998831.7,450.02,116227
01-Nov-2024,454.65,459.55,452.35,454.15,3095957,1410630148.4,455.64,54700
04-Nov-2024,458.0,458.15,435.5,443.3,15720990,6952597280.55,442.25,196757
05-Nov-2024,429.1,436.25,427.0,434.9,10186343,4399032413.3,431.86,136283
06-Nov-2024,437.8,438.9,431.2,435.8,9130749,3967809255.6,434.55,114213
07-Nov-2024,437.8,440.35,434.65,435.35,5861077,2558361609.5,436.5,107559
08-Nov-2024,435.35,436.0,421.25,424.05,9934413,4226270292.1,425.42,160663
11-Nov-2024,423.0,425.75,417.35,421.55,7201246,3038926681.55,422.0,119140
12-Nov-2024,422.5,424.8,412.8,414.05,6564348,2745143695.85,418.19,144780
13-Nov-2024,414.0,415.5,405.7,406.9,7170870,2933108722.45,409.03,174173
13-Nov-2024,414.0,415.5,405.7,406.9,7170870,2933108722.45,409.03,174173
14-Nov-2024,407.2,413.35,402.6,409.75,8776485,3590435613.4,409.1,129813
18-Nov-2024,413.95,418.5,411.0,413.35,7352509,3045633262.75,414.23,130603
19-Nov-2024,415.95,422.0,410.7,412.25,6291292,2624800630.95,417.21,86883
21-Nov-2024,413.05,413.9,404.15,406.0,14141967,5749927846.55,406.59,119807
22-Nov-2024,407.4,415.75,406.4,414.05,8155453,3363466353.55,412.42,96511
25-Nov-2024,421.0,427.45,415.7,417.45,10903727,4594988168.25,421.41,117083
26-Nov-2024,418.45,420.0,409.7,411.5,5798977,2397532157.35,413.44,104357
27-Nov-2024,420.0,421.0,412.7,417.15,9219932,3848877619.25,417.45,114579
28-Nov-2024,420.0,424.9,413.5,415.2,7788912,3262767179.8,418.9,119010
29-Nov-2024,415.3,418.0,411.0,416.4,7057742,2928379529.45,414.92,104292
02-Dec-2024,418.4,423.4,416.8,421.7,6404844,2690676331.3,420.1,92509
03-Dec-2024,425.0,425.5,419.35,422.1,7928558,3345965730.5,422.01,105887
04-Dec-2024,422.1,425.9,415.0,416.65,6836472,2870342250.75,419.86,112278
05-Dec-2024,418.15,421.25,412.0,418.4,9500273,3959153533.75,416.74,149313
06-Dec-2024,420.0,421.5,416.4,417.15,4252732,1781265200.15,418.85,80354
09-Dec-2024,418.0,420.95,412.5,414.0,6662023,2765966464.25,415.18,98026
10-Dec-2024,415.5,417.2,411.5,414.05,6035289,2499961678.7,414.22,83913
11-Dec-2024,416.0,419.65,415.55,416.95,5353413,2233400329.1,417.19,95884
12-Dec-2024,416.5,417.85,407.1,409.1,9409378,3865292100.35,410.79,143661
13-Dec-2024,409.1,411.25,402.0,410.3,9439175,3834378575.65,406.22,126569
16-Dec-2024,410.5,412.85,406.5,410.45,5434635,2224025716.7,409.23,91909
17-Dec-2024,410.45,410.95,402.0,402.9,5070262,2052606417.35,404.83,108718
18-Dec-2024,403.5,404.8,394.55,395.8,7176597,2852691719.4,397.5,137432
19-Dec-2024,390.95,394.5,387.0,391.95,5745829,2249153551.15,391.44,117394
20-Dec-2024,393.0,393.7,380.5,382.0,7923854,3061651230.4,386.38,120289
23-Dec-2024,386.0,388.6,382.4,382.95,5163415,1990235070.8,385.45,75721
23-Dec-2024,386.0,388.6,382.4,382.95,5163415,1990235070.8,385.45,75721
24-Dec-2024,384.85,386.75,381.4,384.5,4242999,1630748497.75,384.34,62079
26-Dec-2024,386.4,390.3,385.05,386.6,4190081,1624607047.85,387.73,78496
27-Dec-2024,387.5,388.45,379.55,380.5,5909271,2267141458.25,383.66,91686
