Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,1444.95,1474.3,1437.5,1472.25,12660930,18494014220.35,1460.72,427537
07-Jun-2024,1481.0,1539.7,1477.25,1533.6,24075302,36673507939.55,1523.28,671586
10-Jun-2024,1525.3,1529.8,1497.3,1499.75,6810606,10248320789.2,1504.76,215749
11-Jun-2024,1500.05,1506.45,1493.95,1495.75,4853054,7281790761.15,1500.46,196731
12-Jun-2024,1507.0,1508.75,1482.75,1485.2,9564320,14282218151.55,1493.28,208574
13-Jun-2024,1495.0,1505.0,1489.35,1493.95,7307565,10930515249.65,1495.78,191937
14-Jun-2024,1503.7,1503.7,1486.05,1488.9,4237727,6314088833.2,1489.97,161152
18-Jun-2024,1497.0,1507.0,1495.4,1498.2,5420939,8133182879.15,1500.33,193064
19-Jun-2024,1505.0,1515.65,1496.7,1511.35,5493456,8285025892.1,1508.16,184453
20-Jun-2024,1516.3,1517.5,1499.1,1515.4,7927010,11976110388.75,1510.8,166148
21-Jun-2024,1545.0,1557.75,1523.7,1532.7,17301941,26627264655.05,1538.98,386255
24-Jun-2024,1524.55,1529.1,1515.4,1527.15,5564989,8481716683.9,1524.12,191438
25-Jun-2024,1526.0,1543.9,1520.35,1541.95,4551525,6992669447.3,1536.34,162269
26-Jun-2024,1541.0,1548.85,1535.0,1540.7,4851004,7480090346.65,1541.97,133969
27-Jun-2024,1538.45,1578.4,1532.05,1573.35,14757754,23064065426.25,1562.84,335798
28-Jun-2024,1572.55,1588.5,1564.25,1566.75,8197544,12894721249.45,1573.0,247411
01-Jul-2024,1559.5,1599.9,1559.5,1590.8,6801771,10805277301.65,1588.6,244645
02-Jul-2024,1596.2,1633.8,1586.5,1621.05,10493173,16986388682.3,1618.8,392727
03-Jul-2024,1625.0,1636.0,1606.0,1627.4,7269965,11789003344.75,1621.6,157551
04-Jul-2024,1628.2,1660.0,1628.0,1650.65,8008311,13236297146.75,1652.82,226165
05-Jul-2024,1651.45,1665.85,1633.35,1647.45,7065022,11672361071.65,1652.13,197833
08-Jul-2024,1643.1,1666.0,1640.0,1661.65,5880533,9741654630.55,1656.59,180580
09-Jul-2024,1659.9,1666.75,1651.0,1657.15,5191182,8616414737.65,1659.82,180329
10-Jul-2024,1657.0,1674.0,1637.55,1648.25,9852770,16286153350.05,1652.95,212673
