Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,1721.0,1738.5,1703.8,1734.7,6359901,10978708786.1,1726.24,362167
07-Jun-2024,1730.05,1758.65,1722.0,1753.7,4608146,8039751893.85,1744.68,194178
10-Jun-2024,1750.1,1773.45,1736.15,1745.65,4848044,8491752227.9,1751.58,262572
11-Jun-2024,1746.6,1747.2,1717.1,1720.0,4105647,7092441376.95,1727.48,277914
12-Jun-2024,1720.1,1734.0,1712.9,1715.75,5881576,10110627339.65,1719.03,291752
13-Jun-2024,1731.4,1737.55,1719.0,1726.35,6016145,10388465918.9,1726.76,148221
14-Jun-2024,1723.0,1734.9,1710.4,1717.2,3153666,5419816736.5,1718.58,153027
18-Jun-2024,1718.6,1724.65,1703.25,1719.4,5707330,9782259639.05,1713.98,193650
19-Jun-2024,1729.0,1763.05,1715.0,1746.7,9959798,17359986714.9,1743.01,254785
20-Jun-2024,1765.0,1789.85,1760.3,1766.25,9243104,16393867107.1,1773.63,328896
21-Jun-2024,1770.0,1789.0,1745.3,1775.65,19031689,33739072477.35,1772.78,229568
24-Jun-2024,1757.15,1775.2,1749.75,1772.55,4228888,7469563381.25,1766.32,259063
25-Jun-2024,1776.55,1798.25,1763.0,1781.9,5933859,10577725284.45,1782.6,184438
26-Jun-2024,1780.0,1816.0,1776.1,1798.15,6685932,12040198918.1,1800.83,199227
27-Jun-2024,1791.0,1838.0,1785.0,1830.55,13342769,24292806682.8,1820.67,285748
28-Jun-2024,1822.2,1847.95,1798.9,1802.5,4969007,9022671229.6,1815.79,188936
01-Jul-2024,1802.5,1813.15,1790.0,1808.1,2901510,5233140959.4,1803.59,94314
02-Jul-2024,1820.95,1820.95,1737.1,1769.6,9625017,16992297342.25,1765.43,308325
03-Jul-2024,1765.8,1815.85,1752.2,1810.7,8981003,16131077019.15,1796.13,193759
04-Jul-2024,1806.6,1838.55,1801.3,1833.85,5068893,9260480577.55,1826.92,133980
05-Jul-2024,1820.0,1857.95,1818.45,1852.7,3465653,6384799258.35,1842.31,172885
08-Jul-2024,1854.0,1857.25,1835.45,1853.2,3861203,7141330515.45,1849.51,98979
09-Jul-2024,1861.2,1870.0,1830.0,1847.85,3920211,7234538293.7,1845.45,108590
10-Jul-2024,1843.0,1844.5,1820.2,1829.85,5629789,10299553281.95,1829.47,159838
11-Jul-2024,1830.85,1852.0,1821.55,1844.5,4615372,8479560846.35,1837.24,172868
12-Jul-2024,1844.5,1851.0,1826.25,1832.85,4240855,7788082222.95,1836.44,144533
15-Jul-2024,1839.0,1857.9,1826.65,1843.55,5909996,10899595298.85,1844.26,157771
16-Jul-2024,1842.1,1849.1,1800.9,1805.3,6542702,11879157103.65,1815.63,132538
16-Jul-2024,1842.1,1849.1,1800.9,1805.3,6542702,11879157103.65,1815.63,132538
18-Jul-2024,1805.0,1831.2,1793.15,1826.75,7590838,13734130255.7,1809.3,219186
19-Jul-2024,1818.5,1831.0,1805.95,1821.6,4138865,7534434906.2,1820.41,100947
22-Jul-2024,1821.0,1821.0,1748.9,1757.55,10742361,18972172826.45,1766.11,254309
23-Jul-2024,1769.0,1780.5,1739.15,1768.9,6155196,10843989331.3,1761.76,209964
24-Jul-2024,1767.95,1780.9,1729.05,1746.2,7487207,13140125950.5,1755.01,216515
25-Jul-2024,1732.0,1779.0,1732.0,1775.15,3096397,5458847338.2,1762.97,123838
26-Jul-2024,1758.1,1829.85,1758.1,1813.85,5309351,9605174308.5,1809.11,161309
29-Jul-2024,1824.7,1827.0,1783.5,1793.9,8006367,14427155460.3,1801.96,193529
30-Jul-2024,1793.9,1806.65,1781.3,1786.1,5679537,10178730045.95,1792.18,203612
31-Jul-2024,1793.0,1816.0,1773.15,1807.9,5806257,10434875567.5,1797.18,139672
01-Aug-2024,1807.1,1818.25,1786.25,1792.65,3816044,6850640105.7,1795.22,90063
02-Aug-2024,1781.1,1810.0,1775.0,1803.45,3242589,5837117425.05,1800.14,103291
05-Aug-2024,1770.2,1805.6,1768.55,1773.65,4911818,8725035250.7,1776.34,142289
06-Aug-2024,1785.0,1792.2,1760.0,1770.55,3924022,6956648909.0,1772.84,150433
07-Aug-2024,1785.0,1786.6,1760.05,1776.55,3537745,6259181323.05,1769.26,161112
08-Aug-2024,1766.65,1781.8,1762.65,1772.75,2472221,4382282901.4,1772.61,134538
09-Aug-2024,1785.05,1785.45,1765.0,1769.65,2464443,4371740495.25,1773.93,106828
12-Aug-2024,1761.0,1791.05,1751.25,1772.55,4544443,8079829777.35,1777.96,191595
13-Aug-2024,1763.0,1791.5,1746.1,1752.05,3530319,6235174692.4,1766.18,179591
14-Aug-2024,1755.0,1760.0,1744.55,1747.9,2585649,4529194759.95,1751.67,147601
16-Aug-2024,1762.0,1785.75,1746.0,1777.3,2961871,5241585368.55,1769.69,157418
19-Aug-2024,1780.55,1790.0,1771.0,1781.35,2172279,3869699061.0,1781.4,74928
20-Aug-2024,1783.0,1813.05,1776.25,1805.65,3115486,5621176001.5,1804.27,113743
21-Aug-2024,1800.0,1817.0,1787.35,1812.95,5717190,10312526114.3,1803.78,111593
22-Aug-2024,1814.0,1824.3,1805.8,1821.5,3217988,5844327526.35,1816.14,99422
23-Aug-2024,1821.5,1827.9,1812.7,1818.0,1815186,3305326284.7,1820.93,70567
26-Aug-2024,1820.0,1822.95,1809.7,1812.5,2356257,4278002385.3,1815.59,92570
27-Aug-2024,1811.05,1813.1,1791.7,1803.35,4541696,8188838559.5,1803.04,115217
28-Aug-2024,1796.0,1805.9,1785.85,1791.3,4280796,7689839840.3,1796.36,118402
29-Aug-2024,1783.25,1798.5,1773.0,1777.25,5531158,9866069133.0,1783.73,149451
30-Aug-2024,1777.3,1790.0,1774.35,1780.8,7458172,13285428435.2,1781.33,135803
02-Sep-2024,1782.0,1793.45,1772.7,1780.25,4048520,7209550815.95,1780.79,140634
03-Sep-2024,1780.05,1786.45,1772.35,1783.8,5196273,9252833306.85,1780.67,135950
04-Sep-2024,1770.0,1788.3,1763.5,1783.8,3192443,5672937622.95,1776.99,113660
05-Sep-2024,1781.25,1786.35,1760.0,1777.95,3573005,6353451117.55,1778.18,96283
06-Sep-2024,1767.55,1781.95,1756.5,1764.15,3254880,5761410780.35,1770.08,138942
09-Sep-2024,1767.7,1793.95,1758.45,1790.15,3436461,6108306059.4,1777.5,93412
10-Sep-2024,1798.0,1799.65,1778.05,1791.6,3497612,6264002967.4,1790.94,144423
11-Sep-2024,1795.0,1805.45,1785.0,1789.25,3733872,6692967035.75,1792.5,128263
12-Sep-2024,1803.9,1834.15,1795.15,1827.45,6365508,11577432282.55,1818.78,227889
13-Sep-2024,1837.0,1837.0,1816.75,1820.35,2056720,3753298175.7,1824.9,85096
16-Sep-2024,1833.0,1845.7,1828.3,1831.3,2730634,5011905673.1,1835.44,95268
17-Sep-2024,1839.4,1853.4,1830.65,1846.65,3674862,6777585065.05,1844.31,127276
18-Sep-2024,1850.0,1859.45,1835.6,1839.7,6877499,12697029706.2,1846.17,102376
19-Sep-2024,1849.9,1875.0,1845.1,1871.95,2892430,5387499759.65,1862.62,121253
20-Sep-2024,1874.0,1926.3,1870.0,1904.5,18849579,35824285619.5,1900.54,243759
23-Sep-2024,1914.95,1942.0,1908.2,1934.7,3686272,7112838901.85,1929.55,135814
24-Sep-2024,1935.0,1938.6,1909.6,1914.7,3709386,7112350674.65,1917.39,173661
25-Sep-2024,1910.05,1922.7,1894.3,1897.95,3307467,6288996515.3,1901.45,172108
26-Sep-2024,1895.0,1913.3,1884.3,1902.3,4204513,7990156159.2,1900.38,211057
27-Sep-2024,1900.0,1910.0,1866.3,1872.45,6643112,12465777260.75,1876.5,227984
30-Sep-2024,1856.7,1884.45,1843.1,1853.95,3246840,6027904246.0,1856.54,111916
01-Oct-2024,1847.0,1884.75,1847.0,1879.4,4871526,9117442067.9,1871.58,173249
03-Oct-2024,1857.9,1863.65,1815.8,1822.8,6363232,11696344986.45,1838.11,256840
04-Oct-2024,1815.5,1850.0,1798.35,1809.0,3734632,6793981253.35,1819.18,194803
04-Oct-2024,1815.5,1850.0,1798.35,1809.0,3734632,6793981253.35,1819.18,194803
07-Oct-2024,1810.0,1836.4,1769.4,1790.25,7446633,13413516755.75,1801.29,241836
08-Oct-2024,1800.0,1814.0,1781.85,1803.4,5097103,9189269087.7,1802.84,167492
09-Oct-2024,1801.0,1820.0,1789.9,1800.8,7078802,12767951879.3,1803.69,237657
10-Oct-2024,1809.9,1884.0,1805.3,1876.1,5905798,11003368846.4,1863.15,251969
11-Oct-2024,1872.2,1893.6,1861.15,1882.4,5211580,9808316489.4,1882.02,132738
14-Oct-2024,1885.05,1916.0,1882.45,1910.8,4391138,8380753954.8,1908.56,158328
15-Oct-2024,1912.2,1915.35,1887.45,1895.2,4295493,8150457993.8,1897.44,171087
16-Oct-2024,1884.0,1892.45,1868.15,1876.35,3145556,5905704932.85,1877.48,169770
17-Oct-2024,1876.35,1878.3,1851.3,1864.05,3541432,6596633546.3,1862.7,117717
18-Oct-2024,1868.0,1878.5,1848.0,1871.05,3834767,7164968183.0,1868.42,173161
21-Oct-2024,1850.0,1855.0,1735.0,1789.2,13178137,23420971357.4,1777.26,394637
22-Oct-2024,1791.95,1795.5,1758.85,1763.15,5494382,9715912165.05,1768.34,253121
23-Oct-2024,1761.15,1787.05,1758.1,1767.8,2836137,5019900681.95,1769.98,104559
24-Oct-2024,1766.0,1772.75,1750.3,1762.2,2316820,4078004286.3,1760.17,112834
25-Oct-2024,1765.0,1786.5,1757.0,1768.85,2829227,5002393369.65,1768.11,101475
28-Oct-2024,1768.0,1780.65,1745.05,1749.85,3302148,5803958310.5,1757.63,143061
29-Oct-2024,1743.5,1767.15,1730.7,1760.2,4158119,7280996077.55,1751.03,160046
30-Oct-2024,1727.0,1760.0,1726.6,1734.6,4385949,7635361099.9,1740.87,154139
31-Oct-2024,1727.35,1746.6,1723.95,1731.1,2944670,5099761084.25,1731.86,137185
01-Nov-2024,1739.6,1754.15,1736.35,1744.4,182489,318400710.2,1744.77,13278
04-Nov-2024,1744.0,1744.0,1724.25,1729.35,2884830,4997763262.6,1732.43,133956
05-Nov-2024,1721.5,1760.5,1711.0,1757.15,4028615,7005607167.55,1738.96,129659
06-Nov-2024,1760.1,1768.45,1746.6,1762.6,3652252,6424077996.5,1758.94,104633
07-Nov-2024,1763.0,1765.0,1733.0,1746.9,3060984,5337947937.2,1743.87,91821
08-Nov-2024,1745.0,1764.1,1738.9,1745.8,3646825,6382845119.5,1750.25,121297
11-Nov-2024,1745.0,1763.3,1737.2,1744.0,3205030,5604243328.4,1748.58,137845
12-Nov-2024,1744.8,1749.4,1715.2,1721.4,3228390,5577916066.1,1727.77,159904
13-Nov-2024,1714.0,1728.15,1679.05,1687.85,3593490,6112033524.8,1700.86,139342
13-Nov-2024,1714.0,1728.15,1679.05,1687.85,3593490,6112033524.8,1700.86,139342
