Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,2518.0,2518.0,2452.65,2471.4,972140,2400630203.35,2469.43,127299
07-Jun-2024,2476.45,2516.25,2467.0,2502.45,1011202,2523838435.55,2495.88,120722
10-Jun-2024,2510.0,2565.0,2507.05,2548.2,795174,2024294993.9,2545.73,62473
11-Jun-2024,2560.0,2575.0,2534.0,2541.95,569411,1452264011.4,2550.47,47435
12-Jun-2024,2544.0,2554.75,2521.0,2537.3,480408,1220511982.55,2540.57,52323
13-Jun-2024,2594.15,2614.45,2545.15,2551.75,1081272,2777001393.8,2568.27,80212
14-Jun-2024,2564.6,2564.6,2534.1,2542.5,429472,1092683073.6,2544.25,46783
18-Jun-2024,2549.0,2555.0,2534.0,2550.35,259554,660900097.45,2546.29,27613
19-Jun-2024,2550.0,2559.6,2517.85,2526.05,784307,1990174586.35,2537.49,36663
20-Jun-2024,2525.0,2551.15,2500.0,2539.75,657413,1665949921.8,2534.1,85789
21-Jun-2024,2532.6,2548.0,2488.5,2498.4,1271544,3184644026.0,2504.55,143041
24-Jun-2024,2498.4,2532.0,2484.5,2530.05,724201,1827991674.9,2524.15,58792
25-Jun-2024,2535.0,2538.3,2505.0,2515.45,312730,787263590.65,2517.39,36023
26-Jun-2024,2522.6,2547.0,2507.45,2534.25,479356,1214149348.7,2532.88,55619
27-Jun-2024,2531.2,2554.0,2508.05,2533.75,866311,2194280687.15,2532.9,113479
28-Jun-2024,2533.75,2573.7,2528.3,2551.65,1182033,3024781511.1,2558.97,79847
01-Jul-2024,2559.8,2591.1,2557.0,2568.1,924514,2378863611.95,2573.1,74810
02-Jul-2024,2585.4,2588.0,2533.15,2544.45,581100,1485254240.35,2555.94,53364
03-Jul-2024,2550.1,2569.55,2540.7,2551.5,315956,807132188.6,2554.57,32933
04-Jul-2024,2560.0,2565.0,2542.05,2545.15,313676,800245301.5,2551.18,41168
05-Jul-2024,2550.6,2579.6,2532.5,2574.15,791513,2028729223.2,2563.1,49159
08-Jul-2024,2574.15,2620.0,2561.45,2603.4,724276,1880890751.75,2596.93,59471
09-Jul-2024,2627.3,2640.1,2593.6,2633.1,832573,2180910864.1,2619.48,47396
10-Jul-2024,2637.9,2649.95,2598.05,2616.45,534990,1402358006.65,2621.28,51005
11-Jul-2024,2620.0,2631.6,2563.7,2593.2,1053799,2724131595.75,2585.06,138570
12-Jul-2024,2605.0,2619.85,2585.85,2609.0,725893,1892341938.4,2606.92,79712
15-Jul-2024,2609.05,2619.5,2597.0,2605.1,347961,906845675.55,2606.17,32156
16-Jul-2024,2604.6,2618.85,2569.05,2607.3,757069,1965366550.25,2596.02,58280
16-Jul-2024,2604.6,2618.85,2569.05,2607.3,757069,1965366550.25,2596.02,58280
18-Jul-2024,2575.0,2634.9,2575.0,2627.05,866797,2265876408.3,2614.08,99155
19-Jul-2024,2634.85,2645.5,2586.45,2597.85,538936,1407209369.25,2611.09,54700
22-Jul-2024,2597.85,2630.0,2565.3,2587.3,745171,1930761039.85,2591.03,64102
23-Jul-2024,2596.6,2606.5,2550.0,2581.55,968499,2504163939.9,2585.61,75248
24-Jul-2024,2581.0,2581.0,2518.7,2541.4,1311044,3327862814.85,2538.33,73247
25-Jul-2024,2544.8,2556.65,2459.45,2480.65,3469181,8656855151.35,2495.36,242987
26-Jul-2024,2492.6,2492.6,2451.5,2476.9,1619693,3996156799.55,2467.23,108064
29-Jul-2024,2483.6,2486.95,2459.0,2470.3,802901,1982379269.0,2469.02,54472
30-Jul-2024,2470.35,2480.4,2451.0,2457.65,1714758,4215830197.4,2458.56,81182
31-Jul-2024,2470.0,2477.0,2452.0,2456.35,822361,2024934768.15,2462.34,65055
01-Aug-2024,2465.0,2492.3,2456.35,2484.0,1326762,3292249404.2,2481.42,80766
02-Aug-2024,2480.0,2514.0,2465.0,2495.1,1155474,2884222280.75,2496.14,86442
05-Aug-2024,2488.0,2528.9,2475.05,2510.9,1325910,3322618703.65,2505.92,92311
06-Aug-2024,2513.9,2528.0,2501.0,2508.5,949431,2386920838.25,2514.05,60068
07-Aug-2024,2518.55,2528.95,2510.25,2522.8,649970,1637355270.95,2519.12,57091
08-Aug-2024,2518.55,2525.0,2478.0,2489.1,1425006,3550480030.55,2491.55,103684
09-Aug-2024,2506.6,2511.9,2490.2,2504.7,270006,675399195.5,2501.42,36706
12-Aug-2024,2501.8,2509.95,2468.35,2473.1,475020,1178554601.25,2481.06,53868
13-Aug-2024,2474.0,2492.0,2473.5,2484.7,311846,774536215.55,2483.71,36415
14-Aug-2024,2486.9,2491.95,2460.6,2474.6,561876,1389709255.6,2473.34,47912
16-Aug-2024,2490.0,2533.45,2471.35,2525.45,859834,2155422309.3,2506.79,50999
19-Aug-2024,2530.0,2546.0,2500.55,2503.15,477701,1200707670.65,2513.51,40874
20-Aug-2024,2510.6,2526.0,2499.05,2518.5,484732,1217572880.9,2511.85,35002
21-Aug-2024,2529.9,2555.0,2521.65,2551.75,624773,1587987270.4,2541.7,37376
22-Aug-2024,2565.0,2565.05,2545.0,2551.0,634905,1622116261.6,2554.9,46945
