Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,347.8,359.75,345.0,349.75,33171039,11693824679.95,352.53,367620
07-Jun-2024,352.0,362.0,347.7,360.6,23930193,8527052942.3,356.33,257993
10-Jun-2024,365.0,370.1,361.8,364.9,16072588,5898187231.1,366.97,169321
11-Jun-2024,368.75,371.95,364.9,367.4,11235777,4131691379.95,367.73,163251
12-Jun-2024,369.55,374.0,365.4,371.3,12134524,4504523361.9,371.22,140265
13-Jun-2024,376.4,376.4,367.95,369.95,11243702,4163788117.75,370.32,128902
14-Jun-2024,370.0,370.85,366.1,368.45,10298434,3790276320.1,368.04,127662
18-Jun-2024,371.8,372.25,368.7,369.65,10228382,3786537392.75,370.2,140378
19-Jun-2024,369.8,370.9,361.55,362.5,8337334,3038186132.5,364.41,104313
20-Jun-2024,362.5,364.9,357.05,357.65,14338604,5155098718.1,359.53,163105
21-Jun-2024,359.95,362.95,356.75,359.8,17931844,6454146277.0,359.93,201612
24-Jun-2024,357.6,364.65,355.55,362.75,9335598,3380532953.2,362.11,116164
25-Jun-2024,364.25,364.7,357.75,360.85,14983828,5395828113.1,360.11,125332
26-Jun-2024,363.0,366.9,359.65,365.05,15918394,5786407098.3,363.5,127593
27-Jun-2024,365.05,381.1,364.1,377.15,55378829,20720966910.3,374.17,280201
28-Jun-2024,377.95,389.5,376.7,378.35,25141039,9607106099.75,382.13,228396
01-Jul-2024,381.75,382.0,367.8,369.75,23389211,8669766359.5,370.67,237546
02-Jul-2024,372.6,372.6,365.15,370.4,13702830,5051870595.5,368.67,140243
03-Jul-2024,370.55,374.25,368.65,372.65,9207317,3426353634.9,372.13,99395
04-Jul-2024,373.9,380.85,371.75,372.95,14916930,5605055079.55,375.75,140502
05-Jul-2024,374.35,381.25,371.0,379.8,15946104,6013510534.55,377.11,206835
08-Jul-2024,380.85,381.25,376.15,377.45,8898299,3366425398.2,378.32,125992
09-Jul-2024,379.2,380.25,375.05,377.05,8355819,3153207592.7,377.37,117907
10-Jul-2024,378.8,383.8,370.0,381.4,17715196,6703711136.65,378.42,179380
11-Jul-2024,382.4,383.3,374.6,377.1,19873143,7519778889.7,378.39,213188
12-Jul-2024,378.95,379.4,372.0,377.15,16151583,6084892976.45,376.74,168936
15-Jul-2024,378.6,388.95,376.9,385.65,22951140,8818055857.55,384.21,172749
16-Jul-2024,386.65,388.75,380.0,380.45,11893034,4561904630.7,383.58,145514
16-Jul-2024,386.65,388.75,380.0,380.45,11893034,4561904630.7,383.58,145514
18-Jul-2024,382.9,382.9,374.2,377.75,15709153,5930775206.25,377.54,206857
19-Jul-2024,377.75,378.0,362.9,364.65,13330099,4931987374.2,369.99,155479
22-Jul-2024,364.75,377.25,362.35,373.5,18715538,6979384497.75,372.92,169056
23-Jul-2024,376.7,385.65,361.55,382.45,49882257,18853797115.55,377.97,363117
24-Jul-2024,384.1,395.0,381.7,392.6,36868466,14360897784.1,389.52,267768
25-Jul-2024,390.95,396.3,386.25,392.15,25973101,10199194024.4,392.68,180614
26-Jul-2024,394.95,399.5,389.7,396.3,20381410,8053359644.05,395.13,171181
29-Jul-2024,404.0,408.3,392.65,393.9,27751449,11073228037.5,399.01,225684
30-Jul-2024,397.0,412.7,397.0,406.95,34447139,14046229116.3,407.76,279433
31-Jul-2024,409.5,417.4,408.55,416.0,29727771,12337058934.35,415.0,255904
01-Aug-2024,419.9,424.35,415.6,423.45,28803487,12146434940.1,421.7,228899
02-Aug-2024,416.25,426.3,413.35,419.7,24233263,10163293058.75,419.39,231811
05-Aug-2024,407.65,415.65,404.65,413.25,42489503,17476435134.9,411.31,257197
06-Aug-2024,413.25,424.95,413.25,415.0,18230579,7610495628.8,417.46,167017
07-Aug-2024,421.0,421.0,415.0,416.3,15556736,6487490563.6,417.02,151513
08-Aug-2024,416.35,417.0,405.8,407.7,16447385,6757963950.65,410.88,172364
09-Aug-2024,413.8,416.35,408.2,410.65,10954753,4504903556.7,411.23,182829
12-Aug-2024,410.0,410.0,400.1,400.85,26254763,10572734335.9,402.7,214204
13-Aug-2024,403.0,404.5,395.0,396.2,11355664,4539499371.9,399.76,146373
14-Aug-2024,398.9,400.0,393.65,396.35,9424614,3742935574.2,397.14,119646
16-Aug-2024,398.05,400.95,393.3,398.05,13844122,5492201898.1,396.72,186250
19-Aug-2024,402.3,407.5,401.45,403.1,10677045,4310042753.3,403.67,133592
20-Aug-2024,404.55,408.2,403.1,406.25,10126083,4105901080.35,405.48,128278
21-Aug-2024,407.5,409.7,405.2,408.95,9726854,3969393039.75,408.09,92453
22-Aug-2024,409.8,410.05,402.25,403.35,10445288,4224126586.15,404.4,137936
23-Aug-2024,403.35,405.9,399.55,401.95,11513586,4639500322.7,402.96,103518
26-Aug-2024,402.45,415.95,401.95,414.85,13772637,5657036173.95,410.74,148650
27-Aug-2024,415.5,416.2,409.1,409.65,8441188,3475429022.2,411.72,93328
28-Aug-2024,410.05,414.4,407.35,409.05,15884745,6522057830.0,410.59,144969
29-Aug-2024,409.05,412.6,403.75,409.9,19014705,7772596073.35,408.77,194040
30-Aug-2024,412.7,419.2,411.5,416.2,22633988,9405281285.95,415.54,173283
02-Sep-2024,417.8,419.1,407.7,410.0,11107165,4577898670.35,412.16,180404
03-Sep-2024,410.5,411.55,405.6,406.4,7538160,3079609815.2,408.54,112873
04-Sep-2024,400.0,408.25,399.9,405.1,11052003,4473490869.3,404.77,148548
05-Sep-2024,405.35,408.4,401.85,403.25,14246871,5758583958.0,404.2,123982
06-Sep-2024,403.25,404.65,392.7,394.8,17956121,7115665884.5,396.28,201104
09-Sep-2024,391.2,392.75,385.3,389.85,12293356,4781099919.1,388.92,167698
10-Sep-2024,390.1,399.4,389.75,396.3,15852309,6247023587.2,394.08,179423
11-Sep-2024,399.0,399.3,387.5,389.65,11492592,4508322702.55,392.28,136373
12-Sep-2024,391.0,406.25,390.65,404.85,24028069,9594530659.35,399.31,190346
13-Sep-2024,404.85,407.3,399.35,401.4,12017217,4843625936.25,403.06,121564
16-Sep-2024,402.45,412.0,402.0,411.1,11479712,4688559951.2,408.42,152432
17-Sep-2024,411.85,417.65,410.1,416.3,14432501,5984074937.9,414.62,274706
18-Sep-2024,418.5,419.75,413.0,414.15,10303840,4291299089.55,416.48,246232
19-Sep-2024,424.0,431.85,420.55,423.95,59601773,25416850696.4,426.44,784686
20-Sep-2024,428.05,429.85,416.55,423.95,36084164,15263669597.25,423.0,517527
23-Sep-2024,427.5,430.5,425.0,428.35,14139629,6053180799.35,428.1,466096
24-Sep-2024,431.45,431.45,427.0,428.1,12539885,5373235434.3,428.49,279182
25-Sep-2024,428.1,437.0,425.65,436.1,19443168,8418102750.75,432.96,313542
26-Sep-2024,437.95,437.95,430.55,434.6,20041825,8684164318.45,433.3,256327
27-Sep-2024,436.0,442.5,433.5,436.9,53885913,23568277528.85,437.37,299874
30-Sep-2024,436.9,448.45,433.6,443.2,20903229,9233996637.55,441.75,295503
01-Oct-2024,446.0,447.75,438.8,440.1,15984996,7080112366.95,442.92,216049
03-Oct-2024,432.0,442.5,432.0,435.35,13563784,5929051689.0,437.12,265337
