Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,254.0,259.5,249.25,252.3,30881233,7850395512.95,254.21,312385
07-Jun-2024,253.5,260.8,251.8,260.4,22010688,5663908821.45,257.33,193174
10-Jun-2024,264.0,264.0,258.05,259.15,14138524,3683694882.35,260.54,130093
11-Jun-2024,266.85,275.0,265.25,273.55,47270206,12790210433.8,270.58,327011
12-Jun-2024,278.0,279.1,274.6,275.5,20560662,5689284626.35,276.71,159313
13-Jun-2024,278.0,278.0,272.5,276.55,16013386,4405418138.85,275.11,116339
14-Jun-2024,277.0,278.2,274.6,275.4,10642648,2937998427.85,276.06,97973
18-Jun-2024,278.95,279.0,274.0,275.8,17044769,4701053838.15,275.81,136193
19-Jun-2024,275.9,276.6,271.1,271.55,13361607,3650243388.95,273.19,125727
20-Jun-2024,271.8,274.0,269.1,271.85,12826509,3488316117.15,271.96,145663
21-Jun-2024,271.45,274.75,268.9,269.65,17406416,4721650927.75,271.26,105432
24-Jun-2024,269.65,271.25,266.6,269.9,7282347,1960531156.75,269.22,74981
25-Jun-2024,270.1,270.8,265.0,267.0,14425434,3853915651.6,267.16,119470
26-Jun-2024,266.9,269.15,264.1,267.75,10650910,2839200588.35,266.57,105797
27-Jun-2024,267.4,268.1,263.5,267.5,22830930,6086040011.65,266.57,149130
28-Jun-2024,269.0,275.45,268.35,274.2,19532912,5346675287.3,273.73,154457
01-Jul-2024,275.0,275.8,271.6,272.95,11750972,3208324944.75,273.03,98637
02-Jul-2024,273.2,279.8,271.5,274.85,24470518,6755874467.8,276.08,171090
03-Jul-2024,276.0,277.7,274.0,274.7,9125400,2511854054.2,275.26,90279
04-Jul-2024,275.0,278.9,273.05,277.05,13444669,3711155911.3,276.03,83962
05-Jul-2024,277.25,289.3,276.5,288.2,39781962,11353969039.15,285.4,227626
08-Jul-2024,290.0,303.0,287.35,299.15,53136198,15729106862.65,296.01,313907
09-Jul-2024,300.8,301.85,293.35,297.45,18686252,5558575756.8,297.47,152905
10-Jul-2024,299.7,299.8,288.85,298.15,19278800,5696445510.1,295.48,162661
11-Jul-2024,300.0,307.2,295.15,304.75,36020507,10935617098.0,303.59,280417
12-Jul-2024,306.8,311.75,304.2,307.1,31788101,9783770407.75,307.78,254041
15-Jul-2024,311.8,323.65,308.65,322.5,51435537,16298370032.4,316.87,346175
16-Jul-2024,323.6,327.6,319.75,322.65,37468292,12149065414.75,324.25,397042
16-Jul-2024,323.6,327.6,319.75,322.65,37468292,12149065414.75,324.25,397042
18-Jul-2024,325.1,333.3,321.65,331.7,48189915,15849414266.45,328.89,363443
19-Jul-2024,333.0,333.2,318.05,319.65,26579496,8598312471.7,323.49,209911
22-Jul-2024,320.0,323.35,314.5,320.8,22234557,7127918984.6,320.58,148194
23-Jul-2024,320.05,321.4,297.4,314.15,37871058,11797923368.0,311.53,299006
24-Jul-2024,313.05,325.75,312.1,319.55,28259305,9061795536.4,320.67,203970
25-Jul-2024,318.05,337.55,316.1,335.8,42054664,13890368319.5,330.29,335548
26-Jul-2024,336.5,338.5,330.1,331.6,25703985,8545629560.7,332.46,176359
