Date,Open,High,Low,Close,Volume,Value_Traded,VWAP,Total_Trades
06-Jun-2024,303.4,311.45,298.1,300.45,36508044,11093277896.2,303.86,381929
07-Jun-2024,298.05,310.65,296.8,309.35,38016104,11647093385.8,306.37,275270
10-Jun-2024,313.0,323.35,311.6,315.8,25478964,8132413902.75,319.18,217389
11-Jun-2024,316.2,319.7,315.15,316.55,12238518,3882723949.4,317.25,135433
12-Jun-2024,319.9,327.1,316.9,324.65,20346144,6580586964.8,323.43,205204
13-Jun-2024,327.0,327.95,320.65,321.45,11756503,3793797402.45,322.7,121897
14-Jun-2024,326.0,326.0,319.35,321.5,14159988,4551544611.6,321.44,154678
18-Jun-2024,322.0,332.5,322.0,331.8,21653702,7133071089.4,329.42,158229
19-Jun-2024,334.0,334.85,325.4,327.3,14235150,4689578366.5,329.44,125073
20-Jun-2024,327.5,328.3,322.3,324.55,11749507,3808290457.2,324.12,129586
21-Jun-2024,326.7,329.6,323.0,325.95,17209541,5618895316.95,326.5,158874
24-Jun-2024,323.1,334.0,322.55,332.95,18044357,5975728440.65,331.17,165448
25-Jun-2024,335.0,335.0,325.8,327.4,13979671,4615847521.65,330.18,123122
26-Jun-2024,325.7,330.2,324.95,326.7,12946277,4239246425.3,327.45,112874
27-Jun-2024,328.55,332.5,324.35,331.55,27061015,8918130093.35,329.56,259522
28-Jun-2024,333.0,337.35,329.6,330.95,21676594,7222865339.05,333.21,222824
01-Jul-2024,331.0,331.75,325.25,329.6,11959181,3929962912.85,328.61,118170
02-Jul-2024,330.05,334.4,328.05,330.8,12684459,4207540505.75,331.71,146818
03-Jul-2024,331.1,336.9,329.1,335.15,9369793,3121407476.35,333.14,93143
04-Jul-2024,337.0,338.7,333.9,335.0,12878827,4327261454.95,336.0,148541
05-Jul-2024,335.0,339.9,332.85,339.4,10894118,3676913073.15,337.51,112487
08-Jul-2024,341.0,341.0,336.85,339.4,7828162,2654087712.0,339.04,77024
09-Jul-2024,340.0,342.35,338.1,341.15,9214579,3141154429.9,340.89,104224
10-Jul-2024,343.0,347.8,335.5,346.05,10662609,3662586216.4,343.5,119818
11-Jul-2024,348.5,348.75,342.0,342.8,12642065,4343933372.05,343.61,140205
12-Jul-2024,342.8,345.9,340.1,343.1,11380570,3907252228.85,343.33,124872
15-Jul-2024,345.4,345.4,340.2,343.85,5277531,1813550777.95,343.64,72702
16-Jul-2024,342.75,347.0,341.5,342.45,11363095,3907542769.35,343.88,77640
16-Jul-2024,342.75,347.0,341.5,342.45,11363095,3907542769.35,343.88,77640
18-Jul-2024,342.0,344.7,336.95,341.25,13908161,4740043866.55,340.81,210347
19-Jul-2024,339.55,341.85,331.0,332.2,12937990,4332314990.2,334.85,115962
22-Jul-2024,330.0,339.4,329.5,338.6,10678640,3599845707.7,337.11,102191
23-Jul-2024,339.1,340.5,321.1,334.25,15954324,5310436653.15,332.85,155152
24-Jul-2024,330.9,338.8,330.3,337.15,12573882,4224972330.8,336.01,88901
25-Jul-2024,330.45,342.6,330.45,339.45,16271884,5474917888.75,336.46,127549
26-Jul-2024,340.35,345.55,338.5,344.2,11468068,3940165669.25,343.58,100657
29-Jul-2024,339.8,345.9,337.75,342.35,31849674,10873155666.5,341.39,163414
30-Jul-2024,345.0,356.95,343.3,349.8,25813219,9116496855.0,353.17,289603
31-Jul-2024,348.25,350.65,342.6,348.2,17976593,6240789824.9,347.16,137801
01-Aug-2024,351.15,362.5,350.15,361.1,26792459,9629446030.85,359.41,225359
02-Aug-2024,358.0,361.05,354.0,358.25,13771470,4919846739.35,357.25,141022
05-Aug-2024,352.75,354.8,341.5,342.8,13566586,4690777726.35,345.76,156750
06-Aug-2024,342.8,350.8,339.25,340.75,12273667,4220632772.15,343.88,123331
07-Aug-2024,345.85,352.55,343.4,352.05,12441847,4341460723.5,348.94,131819
08-Aug-2024,355.0,355.0,341.25,342.65,15489731,5339244233.6,344.7,186783
09-Aug-2024,347.9,348.95,344.3,346.0,8720610,3020666465.0,346.38,144281
12-Aug-2024,343.0,343.8,339.5,341.15,12521136,4281783953.3,341.96,114657
13-Aug-2024,337.0,342.45,335.15,336.95,10435954,3536733917.35,338.9,121895
14-Aug-2024,337.0,338.35,332.5,333.5,12385993,4145872442.35,334.72,100734
16-Aug-2024,333.0,339.55,330.6,338.6,13013828,4367672205.0,335.62,119400
19-Aug-2024,342.65,343.3,339.3,340.3,5891370,2011155552.45,341.37,80586
20-Aug-2024,340.45,342.65,338.8,340.5,6393840,2178534493.75,340.72,65261
21-Aug-2024,340.0,340.95,336.15,336.65,10118601,3424079784.35,338.39,105780
22-Aug-2024,336.0,337.7,330.5,334.0,18370039,6122562051.55,333.29,164072
23-Aug-2024,334.65,336.95,333.35,336.25,7494822,2513665341.1,335.39,85600
26-Aug-2024,336.45,341.5,335.85,338.25,7993675,2713353911.3,339.44,87241
27-Aug-2024,339.0,341.45,335.0,335.35,9589690,3242851369.75,338.16,65090
28-Aug-2024,335.35,338.9,333.75,334.45,8790600,2955781944.45,336.24,94864
29-Aug-2024,332.5,335.9,328.8,333.3,17653536,5863921380.75,332.17,254812
30-Aug-2024,335.0,340.85,334.05,337.4,22713812,7678942166.6,338.07,146858
02-Sep-2024,338.4,339.9,334.2,335.55,9789776,3294080894.4,336.48,111933
03-Sep-2024,336.0,337.95,334.0,334.65,8434423,2833148693.85,335.9,104930
04-Sep-2024,331.2,334.7,331.0,332.9,9025610,3004881081.35,332.93,97931
05-Sep-2024,332.35,334.3,329.6,331.25,13912371,4622528285.8,332.26,135931
06-Sep-2024,333.05,333.1,325.0,329.8,23755639,7789121406.55,327.89,148839
09-Sep-2024,327.7,329.2,323.55,328.55,18597200,6071034625.35,326.45,129268
10-Sep-2024,327.0,335.3,327.0,334.15,15472387,5159032096.8,333.43,113571
11-Sep-2024,336.9,337.25,332.0,333.2,10134008,3396674330.2,335.18,106802
12-Sep-2024,334.85,339.0,333.25,338.2,18410837,6194263134.6,336.45,173758
13-Sep-2024,339.8,341.25,336.1,337.25,10417461,3532354220.35,339.08,83973
16-Sep-2024,337.25,341.5,337.05,338.25,7748570,2632828577.35,339.78,72942
17-Sep-2024,336.7,340.0,334.5,336.9,11451846,3850557882.85,336.24,88543
18-Sep-2024,338.5,338.9,333.1,334.3,6583254,2214865171.25,336.44,50173
19-Sep-2024,336.2,338.35,333.1,334.9,10589610,3551803195.9,335.4,132601
20-Sep-2024,338.15,342.95,334.75,340.85,31236123,10620235342.95,340.0,281560
23-Sep-2024,342.0,342.5,340.25,341.15,6542941,2232799517.75,341.25,64111
24-Sep-2024,344.55,351.0,342.35,350.05,26145769,9097337672.4,347.95,163023
25-Sep-2024,353.85,366.25,352.35,363.75,40770462,14755515435.7,361.92,301981
26-Sep-2024,364.05,366.1,357.2,365.45,18733959,6786151454.55,362.24,170122
27-Sep-2024,362.2,363.3,353.35,354.25,33148043,11782223686.45,355.44,207371
30-Sep-2024,354.25,357.45,349.7,352.85,16356171,5781213912.55,353.46,153190
01-Oct-2024,351.1,356.0,349.95,350.8,9856291,3470359270.15,352.1,86652
03-Oct-2024,343.0,349.9,342.6,344.15,19350466,6673741542.0,344.89,213898
04-Oct-2024,343.0,347.45,337.75,338.85,20121706,6884370904.7,342.14,171005
04-Oct-2024,343.0,347.45,337.75,338.85,20121706,6884370904.7,342.14,171005
07-Oct-2024,340.0,340.0,325.0,328.95,13851446,4573550815.8,330.19,174358
08-Oct-2024,327.3,331.0,322.35,327.15,21148292,6922679551.65,327.34,141448
09-Oct-2024,327.0,331.8,325.5,329.75,9228363,3041813378.2,329.62,101203
10-Oct-2024,330.2,338.1,330.1,334.35,20773976,6945036612.05,334.31,139173
11-Oct-2024,334.45,335.35,329.5,330.05,6098468,2018832390.5,331.04,67966
14-Oct-2024,330.05,331.5,327.8,330.7,5944216,1959184610.95,329.6,65300
